trading_day,avg_gain_percent,median_gain_percent,min_gain_percent,max_gain_percent,std_dev_percent,sample_size
dd,0.0,0.0,0.0,0.0,0.0,18
dd+1,0.002494462929343476,0.002476083930888474,-0.03299017281514136,0.025009603687816122,0.01253692724447533,18
dd+2,0.016774187152686307,0.017503282649185412,-0.03898207657329116,0.06001241561765693,0.01922761403624058,18
dd+3,0.04910002725065482,0.044999740420837056,0.026990557469143237,0.07000703158066676,0.01058119814056332,18
dd+4,0.06538074100883043,0.06948076327360149,0.01998254470444601,0.09903221301643841,0.01859315094028239,18
