dividend_date,dividend_amount,trading_day,price,percent_gain_from_dd
2025-03-11,0.068,dd,98.5994644165039,0.0
2025-03-11,0.068,dd+1,98.60438537597656,0.0049908582179200595
2025-03-11,0.068,dd+2,98.61425018310547,0.014995787947797014
2025-03-11,0.068,dd+3,98.64382934570312,0.04499510160806999
2025-03-11,0.068,dd+4,98.6536865234375,0.054992293573268
2025-03-18,0.08,dd,98.67835998535156,0.0
2025-03-18,0.08,dd+1,98.69315338134766,0.014991530056123525
2025-03-18,0.08,dd+2,98.70301818847656,0.024988460619593214
2025-03-18,0.08,dd+3,98.73262023925781,0.05498698388816427
2025-03-18,0.08,dd+4,98.74248504638672,0.06498391445163396
2025-03-25,0.079,dd,98.76617431640625,0.0
2025-03-25,0.079,dd+1,98.76124572753906,-0.004990158727215986
2025-03-25,0.079,dd+2,98.781005859375,0.015016824405120551
2025-03-25,0.079,dd+3,98.81063079833984,0.04501184969580116
2025-03-25,0.079,dd+4,98.82050323486328,0.055007616558057325
2025-04-01,0.079,dd,98.83432006835938,0.0
2025-04-01,0.079,dd+1,98.84916687011719,0.01502190913798326
2025-04-01,0.079,dd+2,98.85905456542969,0.025026222726280436
2025-04-01,0.079,dd+3,98.90349578857422,0.06999159822923649
2025-04-01,0.079,dd+4,98.90845489501953,0.07500919377892258
2025-04-08,0.078,dd,98.93415832519531,0.0
2025-04-08,0.078,dd+1,98.9015121459961,-0.03299788440298969
2025-04-08,0.078,dd+2,98.89559173583984,-0.03898207657329116
2025-04-08,0.078,dd+3,98.96085357666016,0.02698284588129491
2025-04-08,0.078,dd+4,98.9658203125,0.03200308957055555
2025-04-15,0.078,dd,98.98363494873047,0.0
2025-04-15,0.078,dd+1,98.99353790283203,0.010004637743089382
2025-04-15,0.078,dd+2,99.04302215576172,0.059996995525583775
2025-04-15,0.078,dd+3,99.04795837402344,0.06498389893065222
2025-04-15,0.078,dd+4,99.07075500488281,0.08801460584617692
2025-04-22,0.078,dd,99.07075500488281,0.0
2025-04-22,0.078,dd+1,99.07568359375,0.004974817106162751
2025-04-22,0.078,dd+2,99.10047149658203,0.029995220787157762
2025-04-22,0.078,dd+3,99.11531066894531,0.044973578792554904
2025-04-22,0.078,dd+4,99.1500015258789,0.0799898224175116
2025-04-29,0.079,dd,99.14403533935547,0.0
2025-04-29,0.079,dd+1,99.16883087158203,0.025009605612370967
2025-04-29,0.079,dd+2,99.1589126586914,0.015005763367422579
2025-04-29,0.079,dd+3,99.19857025146484,0.05500574182068544
2025-04-29,0.079,dd+4,99.21343231201172,0.06999611466157733
2025-05-06,0.08,dd,99.23824310302734,0.0
2025-05-06,0.08,dd+1,99.24319458007812,0.004989484795333102
2025-05-06,0.08,dd+2,99.26304626464844,0.024993551725158575
2025-05-06,0.08,dd+3,99.28089141845703,0.042975685679371406
2025-05-06,0.08,dd+4,99.32257843017578,0.08498268864038845
2025-05-13,0.079,dd,99.31661224365234,0.0
2025-05-13,0.079,dd+1,99.3116455078125,-0.005000911456442868
2025-05-13,0.079,dd+2,99.32157135009766,0.0049932295648047065
2025-05-13,0.079,dd+3,99.36129760742188,0.04499283932470949
2025-05-13,0.079,dd+4,99.3712158203125,0.054979298454318905
2025-05-20,0.079,dd,99.39009857177734,0.0
2025-05-20,0.079,dd+1,99.38810729980469,-0.0020034912946768004
2025-05-20,0.079,dd+2,99.40003967285156,0.010002104049670004
2025-05-20,0.079,dd+3,99.42984771728516,0.03999306377496602
2025-05-20,0.079,dd+4,99.46366119384766,0.07401403472518663
2025-05-27,0.079,dd,99.46366119384766,0.0
2025-05-27,0.079,dd+1,99.46366119384766,0.0
2025-05-27,0.079,dd+2,99.47360229492188,0.009994706564082982
2025-05-27,0.079,dd+3,99.50841522216797,0.044995355874835594
2025-05-27,0.079,dd+4,99.52830505371094,0.06499243953758643
2025-06-03,0.08,dd,99.53826141357422,0.0
2025-06-03,0.08,dd+1,99.53826141357422,0.0
2025-06-03,0.08,dd+2,99.56810760498047,0.029984642068682763
2025-06-03,0.08,dd+3,99.593994140625,0.05599126030463384
2025-06-03,0.08,dd+4,99.60791778564453,0.06997949439853621
2025-06-10,0.078,dd,99.63581085205078,0.0
2025-06-10,0.078,dd+1,99.6308364868164,-0.0049925475507610765
2025-06-10,0.078,dd+2,99.64080047607422,0.005007862113800221
2025-06-10,0.078,dd+3,99.68561553955078,0.049986733759767345
2025-06-10,0.078,dd+4,99.68561553955078,0.049986733759767345
2025-06-17,0.079,dd,99.70455169677734,0.0
2025-06-17,0.079,dd+1,99.70954132080078,0.005004409466291974
2025-06-17,0.079,dd+2,99.73446655273438,0.030003500791025733
2025-06-17,0.079,dd+3,99.7494125366211,0.044993773183175545
2025-06-17,0.079,dd+4,99.80329132080078,0.09903221301643841
2025-06-24,0.079,dd,99.80329132080078,0.0
2025-06-24,0.079,dd+1,99.82323455810547,0.01998254470444601
2025-06-24,0.079,dd+2,99.79829406738281,-0.005007102823799593
2025-06-24,0.079,dd+3,99.83619689941406,0.03297043431915671
2025-06-24,0.079,dd+4,99.82323455810547,0.01998254470444601
2025-07-01,0.079,dd,99.87216186523438,0.0
2025-07-01,0.079,dd+1,99.86217498779297,-0.009999660821283066
2025-07-01,0.079,dd+2,99.89811706542969,0.025988423310928186
2025-07-01,0.079,dd+3,99.93206024169922,0.05997504744682457
2025-07-01,0.079,dd+4,99.94105529785156,0.06898161743024149
2025-07-08,0.079,dd,99.94105529785156,0.0
2025-07-08,0.079,dd+1,99.94105529785156,0.0
