Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-04-17 00:00:00-04:00,41.53787151794459,41.53787151794459,40.48585776116791,40.579933166503906,5100,0.363,0.0,0.0
2025-04-21 00:00:00-04:00,39.88431991406649,40.072470735602415,39.40309052677601,40.05799865722656,4900,0.0,0.0,0.0
2025-04-22 00:00:00-04:00,40.76898210649982,40.83230174983402,40.4162002505916,40.60344696044922,2200,0.0,0.0,0.0
2025-04-23 00:00:00-04:00,42.68667252467545,42.68667252467545,41.85446947945556,41.970252990722656,8900,0.0,0.0,0.0
2025-04-24 00:00:00-04:00,43.48035724268056,43.744648662714084,42.70935719813406,43.66171646118164,2400,0.345,0.0,0.0
2025-04-25 00:00:00-04:00,43.65352561112701,44.11831108255655,43.525934102319994,44.04813766479492,6300,0.0,0.0,0.0
2025-04-28 00:00:00-04:00,44.127412143375,44.127412143375,43.44116947751843,44.014408111572266,5800,0.0,0.0,0.0
2025-04-29 00:00:00-04:00,43.3163178991789,44.036282798747344,43.30720595966462,43.782928466796875,6600,0.0,0.0,0.0
2025-04-30 00:00:00-04:00,43.55326638256079,43.98068618774414,42.78773489676487,43.98068618774414,9900,0.0,0.0,0.0
2025-05-01 00:00:00-04:00,45.350819199340016,45.350819199340016,44.087791442871094,44.087791442871094,4100,0.623,0.0,0.0
2025-05-02 00:00:00-04:00,44.916879544682715,45.286183726548714,44.833785487416485,45.160621643066406,8400,0.0,0.0,0.0
2025-05-05 00:00:00-04:00,45.27695597814094,45.27695597814094,44.75992585879264,44.8559455871582,7900,0.0,0.0,0.0
2025-05-06 00:00:00-04:00,44.83378586878713,44.83378586878713,44.298290045854294,44.60204315185547,4400,0.0,0.0,0.0
2025-05-07 00:00:00-04:00,44.50141292533723,45.12092208862305,44.50141292533723,45.12092208862305,8400,0.0,0.0,0.0
2025-05-08 00:00:00-04:00,45.666169532081355,46.05695410564844,45.424252229945246,45.78712463378906,7000,0.377,0.0,0.0
2025-05-09 00:00:00-04:00,46.76408942552523,46.76408942552523,46.14069397519007,46.22071075439453,4800,0.0,0.0,0.0
2025-05-12 00:00:00-04:00,46.53147320648095,48.448187902016784,46.53147320648095,48.403526306152344,37900,0.0,0.0,0.0
