Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-03-26 00:00:00-04:00,28.741087143634186,28.741087143634186,28.5170841217041,28.5170841217041,23300,0.364,0.0,0.0
2024-03-27 00:00:00-04:00,28.622870960438405,28.68198417090079,28.43620053759897,28.61042594909668,15300,0.0,0.0,0.0
2024-03-28 00:00:00-04:00,28.59175066820476,28.67886334668283,28.498414299182564,28.573081970214844,19700,0.0,0.0,0.0
2024-04-01 00:00:00-04:00,28.641527164200156,28.846866218274602,28.523303158717592,28.647750854492188,26700,0.0,0.0,0.0
2024-04-02 00:00:00-04:00,28.457975027497604,28.457975027497604,28.21468137743846,28.41752815246582,23800,0.0,0.0,0.0
2024-04-03 00:00:00-04:00,28.243276715978084,28.550403765132682,28.243276715978084,28.426300048828125,16300,0.332,0.0,0.0
2024-04-04 00:00:00-04:00,28.64442680949671,28.7823195773175,28.00509796988412,28.023900985717773,25400,0.0,0.0,0.0
2024-04-05 00:00:00-04:00,28.048981901140607,28.425056679717915,28.048981901140607,28.300952911376953,17400,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,28.425055875997728,28.46266430920213,28.24955463642731,28.34357452392578,40200,0.0,0.0,0.0
2024-04-09 00:00:00-04:00,28.393704200659506,28.456384895050654,28.14925547009405,28.356098175048828,32800,0.0,0.0,0.0
2024-04-10 00:00:00-04:00,28.237397749796894,28.268800071256297,28.042701919242468,28.197202682495117,21600,0.091,0.0,0.0
2024-04-11 00:00:00-04:00,28.32532335785065,28.67703556441337,28.256239213490353,28.642492294311523,17500,0.0,0.0,0.0
2024-04-12 00:00:00-04:00,28.187153188675325,28.33160577726821,28.0112958842568,28.081640243530273,23600,0.0,0.0,0.0
2024-04-15 00:00:00-04:00,28.287644282635284,28.303344245943734,27.634465433744314,27.672149658203125,13500,0.0,0.0,0.0
2024-04-16 00:00:00-04:00,27.70982517960623,27.822247720518714,27.615618233667693,27.76007080078125,10500,0.0,0.0,0.0
2024-04-17 00:00:00-04:00,27.808720773888094,27.859271754711717,27.447290420532227,27.447290420532227,17200,0.267,0.0,0.0
2024-04-18 00:00:00-04:00,27.391694715519428,27.518069802812196,27.277957377996366,27.328508377075195,9600,0.0,0.0,0.0
2024-04-19 00:00:00-04:00,27.157899963815144,27.18949313023719,26.652402069850105,26.749710083007812,10500,0.0,0.0,0.0
2024-04-22 00:00:00-04:00,26.924113589083774,27.195819219078082,26.721914386818888,27.002466201782227,16000,0.0,0.0,0.0
2024-04-23 00:00:00-04:00,27.208459116127596,27.41065833433753,27.20213903470583,27.351261138916016,11700,0.0,0.0,0.0
2024-04-24 00:00:00-04:00,27.572859702693535,27.604698547335644,27.343616134633336,27.479888916015625,9300,0.334,0.0,0.0
2024-04-25 00:00:00-04:00,26.999758737027477,27.203530299415345,26.904239754405637,27.06980323791504,23600,0.0,0.0,0.0
