Date,Close,Dividends
2024-09-19 00:00:00-04:00,13.150129318237305,0.198
2024-09-26 00:00:00-04:00,13.320531845092773,0.17
2024-10-03 00:00:00-04:00,13.151405334472656,0.164
2024-10-10 00:00:00-04:00,13.31920337677002,0.282
2024-10-17 00:00:00-04:00,13.295503616333008,0.226
2024-10-24 00:00:00-04:00,13.584857940673828,0.055
2024-10-31 00:00:00-04:00,13.383886337280273,0.153
2024-11-07 00:00:00-05:00,14.284428596496582,0.207
2024-11-14 00:00:00-05:00,14.370277404785156,0.21
2024-11-21 00:00:00-05:00,14.260400772094727,0.061
2024-11-29 00:00:00-05:00,14.441100120544434,0.203
2024-12-05 00:00:00-05:00,14.924485206604004,0.277
2024-12-12 00:00:00-05:00,15.323474884033203,0.168
2024-12-19 00:00:00-05:00,14.987361907958984,0.059
2024-12-27 00:00:00-05:00,15.210273742675781,0.174
2025-01-03 00:00:00-05:00,15.05247974395752,0.31
2025-01-08 00:00:00-05:00,14.893513679504395,0.158
2025-01-16 00:00:00-05:00,14.734965324401855,0.05
2025-01-23 00:00:00-05:00,15.091564178466797,0.1
2025-01-30 00:00:00-05:00,14.932366371154785,0.19
2025-02-06 00:00:00-05:00,14.873424530029297,0.186
2025-02-13 00:00:00-05:00,14.834041595458984,0.051
2025-02-20 00:00:00-05:00,14.872289657592773,0.137
2025-02-27 00:00:00-05:00,13.682164192199707,0.176
2025-03-06 00:00:00-05:00,13.322553634643555,0.151
2025-03-13 00:00:00-04:00,12.837987899780273,0.145
2025-03-20 00:00:00-04:00,12.985823631286621,0.085
2025-03-27 00:00:00-04:00,13.184562683105469,0.084
2025-04-03 00:00:00-04:00,12.347809791564941,0.097
2025-04-10 00:00:00-04:00,12.317171096801758,0.097
2025-04-17 00:00:00-04:00,12.034346580505371,0.094
2025-04-24 00:00:00-04:00,12.656562805175781,0.092
2025-05-01 00:00:00-04:00,13.168213844299316,0.101
2025-05-08 00:00:00-04:00,13.316035270690918,0.106
2025-05-15 00:00:00-04:00,14.232173919677734,0.2
2025-05-22 00:00:00-04:00,14.125236511230469,0.26
2025-05-29 00:00:00-04:00,14.4046049118042,0.293
2025-06-05 00:00:00-04:00,14.10012149810791,0.209
2025-06-12 00:00:00-04:00,14.55593490600586,0.171
2025-06-20 00:00:00-04:00,14.477069854736328,0.169
2025-06-26 00:00:00-04:00,14.872272491455078,0.157
2025-07-03 00:00:00-04:00,15.04387092590332,0.055
2025-07-10 00:00:00-04:00,15.099480628967285,0.126
2025-07-17 00:00:00-04:00,15.289999961853027,0.152
