strategy,ticker,training_return,testing_return,current_price,training_rank_in_top10,run_date,train_period,test_period
1ST→2ND,OKTA,38.08593058642995,7.311381903033443,104.82,3,2025-08-27,January 2025 - April 2025,May 2025 - July 2025
2ND→3RD,RKT,24.015545010421093,11.053984575835486,12.4,6,2025-08-27,January 2025 - April 2025,May 2025 - July 2025
3RD→4TH,CRWV,18.944099378881994,56.90916906979542,147.355,5,2025-08-27,January 2025 - April 2025,May 2025 - July 2025
LAST→1ST,SBET,92.93157594096728,99.23852724778651,25.55,2,2025-08-27,January 2025 - April 2025,May 2025 - July 2025
