ticker,category,days_of_data,ytd_return_pct,annualized_volatility_pct,current_price,avg_daily_volume
BMNR,STOCK,136,557.5714285714286,988.6013022843681,46.03,14899361.00404412
TMC,STOCK,163,342.5,138.0919964701678,5.31,8444651.71779141
MP,STOCK,163,335.6314826113484,103.14715505057757,71.4,9330423.576687116
PGEN,STOCK,163,324.99999999999994,117.35749156867028,4.59,3755011.411042945
CGTX,STOCK,163,323.17798368137187,150.90412918359883,3.06,4895176.012269938
OKLO,STOCK,163,235.01144164759725,126.67983455840837,73.2,17961609.312883437
HOOD,LEVERAGED,163,160.9533468559838,78.1514635174575,102.92,41578505.055214725
SATS,STOCK,163,158.28571428571428,129.47663614080753,58.76,3256697.975460123
OPEN,STOCK,163,152.83018867924525,158.5741578228577,4.02,125108307.17791411
NBY,STOCK,163,148.0,140.9877104854686,1.55,2300838.411042945
CRWV,STOCK,105,142.32500000000002,146.561126407538,96.93,20519617.304761905
THAR,STOCK,163,141.95121951219514,288.25198752217295,4.96,3687803.7239263803
SBET,STOCK,163,138.50190603495224,621.4007191273373,19.27,15055725.34151595
TME,STOCK,163,128.09187279151942,52.91963714617401,25.82,7496266.552147239
BE,STOCK,163,117.58664955070603,84.35458316461478,50.85,7438690.72392638
NGD,LEVERAGED,163,117.17557251908397,55.17338059221119,5.69,19470835.36196319
APLD,LEVERAGED,163,114.1025641025641,140.9701860566538,16.7,37639459.46625767
IREN,STOCK,163,113.7189292543021,88.91057789900333,22.355,18995707.92638037
RBLX,STOCK,163,108.5316111488783,49.140118085868586,122.7,8885859.558282208
PLTR,STOCK,163,108.43197233674691,76.11593315274767,156.72,91998325.58282208
KGC,STOCK,163,104.55465587044534,42.33478199235762,20.21,20670552.061349694
CDE,STOCK,163,101.12903225806451,67.1023240036867,12.47,16389894.699386504
UUUU,LEVERAGED,163,100.7042253521127,79.826338131943,11.4,10422695.490797546
SMR,STOCK,163,98.53190287972893,114.05337799391904,35.16,11564780.576687116
XPEV,STOCK,163,96.53679653679652,69.84956739042411,22.7,9939967.969325153
ONDS,STOCK,163,92.77566539923956,131.17291318785936,5.07,16061564.99386503
FFAI,STOCK,119,88.88888888888889,137.24951560292217,2.38,12163536.260504201
NEM,STOCK,163,88.66301798279908,38.17664980044006,72.39,11756862.00613497
RKLB,STOCK,163,85.29647435897435,90.28157846646533,46.25,20166147.417177916
IVVD,LEVERAGED,163,81.45833333333334,312.07901297456647,0.871,8096237.429447853
JOBY,STOCK,163,78.12113720642769,89.3704756728701,14.41,21379433.490797546
SOFI,STOCK,163,76.64543524416135,65.51163419715958,24.96,61277941.95705521
HIMS,STOCK,163,74.64285714285714,118.04531412188548,44.01,33515294.37423313
GDX,STOCK,163,73.96717600452743,35.18810203665175,61.48,20320822.28834356
NVTS,STOCK,163,73.92550143266476,239.67960971113644,6.07,21628422.91411043
UP,STOCK,163,72.18934911242604,110.89616438029151,2.91,1560043.3865030676
BZ,STOCK,163,67.52199413489737,51.591820453370175,22.85,4178316.325153374
WULF,STOCK,163,67.21611721611723,132.8362195553024,9.13,46038210.10429448
LWLG,STOCK,163,66.66666666666666,113.5812075897737,3.6,1230080.0490797546
RKT,STOCK,163,66.63594470046081,67.02540894115228,18.08,12760669.570552148
LYG,STOCK,163,66.2962962962963,32.0865928437164,4.49,22593394.226993866
FSM,STOCK,163,65.50218340611353,59.571762210092274,7.58,14754080.71779141
U,LEVERAGED,163,64.5858833129335,80.04813439618803,40.34,12455430.564417178
COMP,STOCK,163,60.0,66.86188575500735,9.28,7366095.4110429445
APH,STOCK,163,59.58556730908562,38.783735425446594,110.13,8410187.932515338
QBTS,STOCK,163,58.480749219562966,157.51359602838642,15.23,66545778.134969324
CX,STOCK,163,56.94200351493848,37.864039456576215,8.93,12892369.36809816
BTG,STOCK,163,56.75675675675676,45.661826285365166,4.06,41460110.55214724
RUN,STOCK,163,54.750244857982366,129.26028187409833,15.8,17204020.08588957
ITUB,STOCK,163,54.666666666666664,29.293069294088504,6.96,28698822.876687113
GPRO,STOCK,163,54.54545454545453,108.59572245296967,1.7,6589290.134969325
EQX,STOCK,163,54.4256120527307,51.44540322926727,8.2,12231629.067484662
BBD,LEVERAGED,163,54.08163265306123,40.394789089670894,3.02,41445426.87116564
TPR,STOCK,163,53.862562852354124,47.58555127053828,100.98,4979613.147239264
HL,STOCK,163,52.6615969581749,60.94638622838301,8.03,20967205.644171778
AG,STOCK,163,52.60504201680673,62.942348988644866,9.08,20693938.404907975
UBER,STOCK,163,50.91024220357764,40.42958570071549,95.33,21818755.165644173
EBAY,STOCK,163,50.425566083186126,38.14800085411101,93.67,5642113.7668711655
SMCI,STOCK,163,48.95174708818635,97.01648678831994,44.76,54560590.134969324
AMDL,STOCK,163,47.12041884816755,114.51705598015072,11.24,26240582.490797546
QS,STOCK,163,45.126353790613706,101.24948809367109,8.04,24119720.165644173
CIFR,STOCK,163,44.72049689440994,109.8720012107417,6.99,21271256.067484662
ALLR,STOCK,163,43.24324324324324,120.81772903994093,1.59,3912742.0858895704
LRCX,STOCK,163,43.11154058531199,49.46371261191965,103.67,11961078.36196319
ORCL,STOCK,163,42.02854905739927,49.15973026056889,235.81,11882070.392638037
NIO,STOCK,163,39.34065934065934,67.36877107602565,6.34,54951134.47239264
AMD,LEVERAGED,163,38.547624968913205,57.14956273438949,167.13,46834719.226993866
C,STOCK,163,38.50443237060339,35.493612146620364,96.87,15695438.208588958
NU,LEVERAGED,163,37.723424270931325,51.103677791056455,14.64,57358357.36809816
RR,STOCK,163,37.34439834024896,162.00275125858792,3.31,13753090.969325153
UEC,STOCK,163,36.089238845144344,70.00200070748309,10.37,11077886.889570553
MSOS,STOCK,163,35.78431372549019,82.74157019397748,5.54,6716537.251533742
IBKR,STOCK,163,35.43013698630137,50.14870489989265,61.79,7632588.128834356
MU,LEVERAGED,163,34.833390587427004,62.68684642508937,117.75,22707355.484662578
ARRY,STOCK,163,33.97626112759642,93.01182905193566,9.03,6894786.730061349
ALTS,STOCK,163,33.00970873786406,126.39067728665734,6.85,1680281.8957055216
PSLV,STOCK,163,32.3529411764706,24.598311143607543,13.05,32651224.944785275
ETHA,CRYPTO,163,31.9083969465649,79.04458561613365,34.56,21950444.484662578
NVDA,STOCK,163,31.29925529607403,55.83894919656797,181.6,238741436.42331287
KWEB,STOCK,163,30.46657381615599,35.685987577224935,37.47,22183440.245398775
WBA,STOCK,163,30.359085963003274,50.6165734706272,11.98,18733556.6196319
SLV,ETF,163,29.929446713702202,24.923991111361843,34.99,20408053.251533743
RIOT,CRYPTO,163,29.541108986615676,83.33549421717153,13.55,33427118.90184049
AVGO,STOCK,163,29.429261143202005,53.993160995072756,300.25,25829244.09815951
CCL,STOCK,163,29.308276689324273,51.87785148980092,32.34,23538512.89570552
NVDL,STOCK,163,28.80512091038407,110.30986871948829,90.55,20509983.56441718
EOSE,STOCK,163,28.752260397830014,108.81090328302835,7.12,10553784.773006136
FXI,STOCK,163,27.868852459016384,28.578955820783868,38.22,42987535.48466258
EWZ,STOCK,163,27.78511668868339,24.88349369785354,29.02,24883190.10429448
GLD,ETF,163,27.418303316763097,18.449912924252395,312.71,10072467.55214724
T,STOCK,163,27.288655278142798,23.796699502828325,29.06,37071678.865030676
PDD,LEVERAGED,163,26.143048818247493,45.93645059607854,122.22,9120096.251533743
OSCR,STOCK,163,25.608856088560877,84.80789505002383,17.02,13630961.975460123
ADT,STOCK,163,25.501432664756436,28.54809672578188,8.76,14819480.950920245
OPAD,LEVERAGED,163,25.373134328358198,213.41097418267196,3.36,1837478.5644171778
BBAI,STOCK,163,24.81751824817517,141.86658651404903,5.13,87200731.97546013
AFRM,STOCK,163,24.124140137577996,80.50655105784654,77.59,7123335.116564417
F,STOCK,163,23.41968911917098,33.227709105076826,11.91,97669236.04294479
VEA,STOCK,163,23.15590947191954,18.505435447273115,58.77,12833943.055214724
INTC,STOCK,163,22.8981206726014,64.58557891918963,24.85,99494019.98773006
JNJ,STOCK,163,22.75378419663934,21.75856396274216,176.79,9011402.245398773
FL,STOCK,163,22.150438394093204,119.3902363771954,26.47,4649856.165644172
EFA,STOCK,163,21.67219641672198,19.04982800292392,91.68,14463542.944785276
MSFT,STOCK,163,21.061684743657132,27.107807742069394,506.74,22324853.331288345
ABEV,STOCK,163,20.765027322404364,28.16183725749027,2.21,32633819.08588957
TOST,STOCK,163,20.560747663551393,48.54894330399958,43.86,7321670.736196319
EEM,ETF,163,19.516283524904214,19.320050816693097,49.91,25958372.62576687
UNIT,STOCK,163,19.45945945945946,94.95011793338657,6.63,2322275.662576687
IEMG,STOCK,163,19.221177824669088,19.013143434395218,62.15,10238877.99386503
LYFT,STOCK,163,19.047619047619044,61.38763735242776,16.25,18132684.355828222
TSM,STOCK,163,18.70721301716439,44.58942078716834,239.29,14852207.435582822
IQ,STOCK,163,18.592964824120596,64.77931993339361,2.36,28604353.233128835
OKTA,STOCK,163,18.01344665736395,53.60922965780129,93.03,3695396.392638037
EXC,STOCK,163,17.870419543282008,20.765351222671217,44.39,7307381.754601227
