strategy,best_variant,ticker,training_return,testing_return,current_price,run_date
1ST→2ND,RSI Filter (≤70),CDE,24.895293092956194,40.73394495412843,8.225,2025-08-27
2ND→3RD,Basic Strategy,RKT,24.015545010421093,11.053984575835486,12.4,2025-08-27
3RD→4TH,Basic Strategy,CRWV,18.944099378881994,56.90916906979542,147.355,2025-08-27
LAST→1ST,Basic Strategy,SBET,92.93157594096728,99.23852724778651,25.55,2025-08-27
