ticker,category,days_of_data,ytd_return_pct,annualized_volatility_pct,current_price,avg_daily_volume,month_change_pct
COMM,STOCK,41,92.96969696969697,218.44462846655878,15.92,8042015.4878048785,109.74967061923584
SRPT,STOCK,41,4.84988452655889,136.50169713032366,18.16,15489270.804878049,33.38229893499816
AYRO,STOCK,35,4.0289165123865,120.98956567121735,7.08,59777.22857142857,12.918660287081348
CDNA,STOCK,41,-24.932249322493224,108.30701220098166,13.85,1879397.8292682928,6.374807987711215
MDB,STOCK,41,51.55944955002144,107.0114604061516,318.29,3178939.8292682925,41.906863728571764
ICHR,STOCK,41,-24.576659038901603,106.86718794927938,16.48,870920.9024390244,-23.950161513613295
DNA,STOCK,41,-2.907488986784142,106.4611765266388,11.02,1670825.780487805,-17.453183520599254
ALGN,STOCK,41,-29.236960222875723,99.20520983121499,137.16,1751372.5853658537,-29.32082860970834
GTBIF,STOCK,41,60.16016016016016,97.60872714396204,8.8,768330.8780487805,49.86376021798367
UI,STOCK,41,26.470447475472604,91.63312645479823,528.52,155469.41463414635,20.16187704619862
TDW,STOCK,41,21.862684090437668,88.30778724515173,58.75,908417.5853658536,19.120032441200323
UTHR,STOCK,41,39.4021832707738,87.01160750157285,404.81,682844.2195121951,35.89244351941993
ARWR,STOCK,41,52.49406175771971,82.69995027728689,25.68,2391055.2439024393,71.65775401069517
NBR,STOCK,41,16.750629722921904,76.00258909025533,37.08,539583.4146341464,14.941103533787976
RARE,STOCK,41,-19.136581671295126,75.35564150793269,32.03,2378158.1219512196,21.142208774583963
PTON,STOCK,41,14.541213063763617,75.2454903377075,7.365,13191538.951219512,13.482280431432974
IDXX,STOCK,41,17.209839431043353,75.2077353842113,639.45,619475.268292683,20.197368421052637
CHPT,STOCK,41,-23.132080883407422,74.56432098556019,10.72,768420.4451219513,-16.14518147684606
NVCR,STOCK,41,-27.827116637063355,73.61590965570105,12.19,1666358.780487805,-25.214723926380373
CRSP,STOCK,41,2.871654620042975,72.36972250815434,52.66,3134912.2682926827,-20.12740785681785
TIGR,STOCK,41,35.08771929824563,70.52596297633349,12.32,6662829.87804878,12.204007285974496
ACB,STOCK,41,16.704288939051924,70.2996422066558,5.17,1509228.6829268292,2.3762376237623783
NTLA,STOCK,41,11.219512195121954,68.60713616806281,11.4,4564413.1707317075,-15.492957746478872
SHOP,STOCK,41,19.183953368763927,66.24743522329133,139.04,8173194.756097561,12.391884245412658
WST,STOCK,41,10.050568900126432,64.97457518829121,243.74,693413.2926829269,11.347647327546827
SNOW,STOCK,41,3.458966296115861,62.21834571342206,233.6,5322905.341463415,10.058892815076558
SNOW,STOCK,41,3.458966296115861,62.21834571342206,233.6,5322905.341463415,10.058892815076558
SSRM,STOCK,41,48.3271375464684,61.661287136677764,19.95,3057670.1707317075,55.011655011655016
HMY,STOCK,41,-2.9891304347826173,60.82329144091377,14.28,3935093.0,-4.990019960079841
BILL,STOCK,41,-1.6003369130343337,59.876719896919774,46.73,3144353.0975609757,1.4326025613197233
TWST,STOCK,41,-26.271424557459973,59.78430808850611,26.24,1460205.487804878,-26.765280491208486
VCYT,STOCK,41,14.312832194381167,59.54108754446394,30.11,1660948.9512195121,28.073160357294757
SE,STOCK,41,18.311164052676848,59.27176587715436,178.78,4516880.707317073,15.476036687766445
FSLY,STOCK,41,5.6737588652482325,57.82524189388896,7.45,2556696.463414634,3.7604456824512598
VRTX,STOCK,41,-12.71413334494243,57.77498522564639,401.0,1846483.4146341463,-14.7044434518112
TER,STOCK,41,33.13831548736063,57.56358533842818,120.61,4132784.6341463416,28.71931696905016
SBSW,STOCK,41,4.413619167717524,56.98617909477056,8.28,8456787.829268293,-13.569937369519842
ON,STOCK,41,-10.382713788683393,56.59867566159702,48.94,9171803.024390243,-21.63330664531626
FUTU,STOCK,41,51.855762202550146,56.08587376144993,186.98,2641566.512195122,13.8386605783866
GLOB,STOCK,41,-29.40594059405941,55.7044397081605,64.17,1629698.3170731708,-27.898876404494384
FORM,STOCK,41,-18.163500287852624,55.54299557430266,28.43,790484.268292683,-18.701744352301972
EXK,STOCK,41,24.045801526717554,54.29966204060842,6.5,9946659.31707317,14.638447971781307
IQV,STOCK,41,13.10557094490614,53.659552873905945,183.74,1817725.5609756098,-1.9425765823460277
HIMX,STOCK,41,-10.520487264673305,53.249575300331074,8.08,1183133.4146341463,-15.920915712799161
UAL,STOCK,41,29.059302182221685,53.04791589381952,104.68,6462222.439024391,15.311742674597935
ROKU,STOCK,41,8.857597092891208,52.72626189097065,95.86,3696760.2195121953,7.046342825237301
STM,STOCK,41,-16.761723700887195,51.96968190517089,26.27,7571489.560975609,-21.3708470517809
HP,STOCK,41,32.27414330218068,50.78780364539358,21.23,2160914.512195122,33.27055869428751
SVM,STOCK,41,4.329896907216495,50.40754975257094,5.06,5062105.317073171,6.07966457023061
BEAM,STOCK,41,-14.963503649635044,49.37847941839425,16.31,2432014.0975609757,-24.280408542246985
TDOC,STOCK,41,-5.3283767038413945,49.2137986751448,7.64,6698364.243902439,-9.263657957244659
LLY,STOCK,41,-4.875334791103284,49.18152873759375,735.19,5106954.853658536,-5.3127092885477305
NOG,STOCK,41,-8.456008216364266,49.1677224407571,26.74,1806413.7073170731,-1.5463917525773259
ALK,STOCK,41,23.769033023531744,49.0785913640298,62.59,2525510.951219512,17.96079909536374
CRGY,STOCK,41,12.11778029445074,48.98280593945926,9.9,3723298.1707317075,14.583333333333329
ACLS,STOCK,41,12.191684284707529,48.52212928410984,79.6,501011.9512195122,5.780730897009959
