month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct
January,2025-01-21,2025-01-27,1.1,1.03,,-6.363636363636369
February,2025-02-18,2025-02-24,0.8898,0.7892,43.28570527555749,-11.30591144077321
March,2025-03-17,2025-03-24,0.7525,0.8115,45.18249131390797,7.840531561461801
April,2025-04-21,2025-04-28,0.4942,0.6013,30.352468264451502,21.671388101983
May,2025-05-19,2025-05-27,0.605,0.649,51.01853649375637,7.27272727272728
June,2025-06-16,2025-06-23,0.8809,0.8595,69.60908448621592,-2.4293336360540327
July,2025-07-21,2025-07-28,0.9714,1.41,68.84183438205588,45.1513279802347
August,2025-08-18,2025-08-25,1.42,1.65,62.11378890622026,16.19718309859155
