ticker,current_price,1st_to_2nd_training_return,1st_to_2nd_training_win_rate,1st_to_2nd_training_trades,2nd_to_3rd_training_return,2nd_to_3rd_training_win_rate,2nd_to_3rd_training_trades,3rd_to_4th_training_return,3rd_to_4th_training_win_rate,3rd_to_4th_training_trades,last_to_1st_training_return,last_to_1st_training_win_rate,last_to_1st_training_trades,1st_to_2nd_testing_return,1st_to_2nd_testing_win_rate,1st_to_2nd_testing_trades,2nd_to_3rd_testing_return,2nd_to_3rd_testing_win_rate,2nd_to_3rd_testing_trades,3rd_to_4th_testing_return,3rd_to_4th_testing_win_rate,3rd_to_4th_testing_trades,last_to_1st_testing_return,last_to_1st_testing_win_rate,last_to_1st_testing_trades
MP,22.21,9.931056348284507,40.0,5,-7.717458742694882,60.0,5,7.732006270161529,80.0,5,28.826526162623466,60.0,5,,,,,,,,,,,,
SATS,31.21,32.83254659017993,66.66666666666666,6,34.95197681203468,50.0,6,-5.852841776043927,33.33333333333333,6,6.010353461209239,66.66666666666666,6,,,,,,,,,,,,
HOOD,37.62,58.459033655131456,100.0,3,20.320855965318696,66.66666666666666,3,14.262583778571635,100.0,3,-13.621105525021305,0.0,3,,,,,,,,,,,,
OKLO,21.15,10.382890467110473,66.66666666666666,3,110.03693864173857,66.66666666666666,3,62.20915855093665,100.0,3,8.479918202963365,33.33333333333333,3,,,,,,,,,,,,
BMNR,46.03,-78.7980323325087,37.5,8,362.636550882632,62.5,8,19.998131409716358,50.0,8,-17.69575094621435,62.5,8,-28.91215849441138,50.0,4.0,-48.134725958844925,0.0,4.0,-23.648781932617545,0.0,4.0,182.75104295963888,33.33333333333333,3.0
CRWV,147.355,-12.129760225669962,0.0,8,-18.780096308186188,0.0,8,18.944099378881994,12.5,8,62.56362884775426,25.0,8,54.64783922805259,100.0,2.0,44.702129025567075,50.0,2.0,56.90916906979542,100.0,2.0,-5.114660043030328,0.0,2.0
THAR,5.1,-22.490474204739918,62.5,8,2.4911035351645516,37.5,8,-1.8541329869897871,37.5,8,-12.380525066951076,37.5,8,-5.626482333915672,50.0,4.0,-17.28917660420216,50.0,4.0,438.2833395015001,50.0,4.0,-17.872166849041136,33.33333333333333,3.0
TME,11.88,-2.527104757570875,40.0,5,-20.225475861155406,20.0,5,15.976680953277423,80.0,5,10.456604869788366,50.0,4,,,,,,,,,,,,
BE,26.04,0.45516681728738906,40.0,5,74.65755971221083,60.0,5,20.082221785289377,75.0,4,22.489301850033883,75.0,4,,,,,,,,,,,,
IREN,12.92,58.35456814478817,100.0,3,-1.8869400018157623,66.66666666666666,3,17.987556728240218,100.0,3,-4.026675585860251,33.33333333333333,3,,,,,,,,,,,,
PLTR,41.43,26.444747070582576,100.0,2,3.2405773999890197,50.0,2,10.07061764697914,100.0,2,4.610215053763422,100.0,1,,,,,,,,,,,,
RBLX,66.1,18.221667124768448,60.0,5,13.961129340488831,60.0,5,-4.030045057958298,25.0,4,24.268927947182604,75.0,4,,,,,,,,,,,,
