strategy_formatted,variant_formatted,rank,ticker,training_return,testing_return,current_price
2ND→3RD,Stop Loss (Thu),5,BMNR,-18.287373004354134,-10.27262372681359,43.62
2ND→3RD,Stop Loss (Thu),6,OPAD,-18.77704862170684,147.42887323126217,5.145
2ND→3RD,Stop Loss (Thu),7,THAR,-28.790705401098137,9.095038975788562,5.91
2ND→3RD,Stop Loss (Thu),8,SBET,-63.88427863957802,5.737018425460638,25.8182
3RD→4TH,Basic Strategy,1,ALTS,46.92606701391588,5.918278465180693,7.87
3RD→4TH,Basic Strategy,2,THAR,19.742292637163604,431.62382646880684,5.91
3RD→4TH,Basic Strategy,3,BMNR,11.923688394276644,-19.744458281444587,43.62
3RD→4TH,Basic Strategy,4,PACK,7.866176840504102,21.08528169148711,5.28
3RD→4TH,Basic Strategy,5,ETHD,-15.590760980781138,-3.754266211604107,6.531
3RD→4TH,Basic Strategy,6,OPAD,-38.75678600439784,38.02322226522641,5.145
3RD→4TH,RSI Filter (≤70),1,ALTS,46.92606701391588,5.918278465180693,7.87
3RD→4TH,RSI Filter (≤70),2,THAR,19.742292637163604,431.62382646880684,5.91
3RD→4TH,RSI Filter (≤70),3,BMNR,11.923688394276644,-19.744458281444587,43.62
3RD→4TH,RSI Filter (≤70),4,PACK,7.866176840504102,21.08528169148711,5.28
3RD→4TH,RSI Filter (≤70),5,ETHD,-15.590760980781138,-3.754266211604107,6.531
3RD→4TH,RSI Filter (≤70),6,OPAD,-38.75678600439784,146.40955631399316,5.145
3RD→4TH,Double Down (Thu),1,ALTS,46.92606701391588,11.20507721817594,7.87
3RD→4TH,Double Down (Thu),2,THAR,19.742292637163604,453.9273933901657,5.91
3RD→4TH,Double Down (Thu),3,BMNR,11.923688394276644,-14.455545427997485,43.62
3RD→4TH,Double Down (Thu),4,PACK,10.939287291800515,21.08528169148711,5.28
3RD→4TH,Double Down (Thu),5,ETHD,-0.4653653120727519,-3.754266211604107,6.531
3RD→4TH,Double Down (Thu),6,OPAD,-25.01735359501659,73.54552643657819,5.145
3RD→4TH,Stop Loss (Thu),1,ALTS,46.92606701391588,5.918278465180693,7.87
3RD→4TH,Stop Loss (Thu),2,THAR,19.742292637163604,431.62382646880684,5.91
3RD→4TH,Stop Loss (Thu),3,BMNR,11.923688394276644,-22.2795258521286,43.62
3RD→4TH,Stop Loss (Thu),4,PACK,7.866176840504102,21.08528169148711,5.28
3RD→4TH,Stop Loss (Thu),5,ETHD,-12.353146333468622,-3.754266211604107,6.531
3RD→4TH,Stop Loss (Thu),6,OPAD,-38.16790894674782,63.002885190528104,5.145
LAST→1ST,Basic Strategy,1,BMNR,228.44375748502998,-11.75968109339407,43.62
LAST→1ST,Basic Strategy,2,OPAD,30.820166995825083,-25.72392638036809,5.145
LAST→1ST,Basic Strategy,3,THAR,2.087693529752266,-8.904109589041088,5.91
LAST→1ST,Basic Strategy,4,PACK,0.021666854696356097,-10.178117048346069,5.28
LAST→1ST,Basic Strategy,5,ALTS,-5.1449172707880635,-2.7837259100642386,7.87
LAST→1ST,RSI Filter (≤70),1,OPAD,30.820166995825083,-25.72392638036809,5.145
LAST→1ST,RSI Filter (≤70),2,THAR,17.194570135746613,-8.904109589041088,5.91
LAST→1ST,RSI Filter (≤70),3,BMNR,2.499999999999991,-11.75968109339407,43.62
LAST→1ST,RSI Filter (≤70),4,ALTS,2.20994475138121,-2.7837259100642386,7.87
LAST→1ST,RSI Filter (≤70),5,PACK,0.021666854696356097,-10.178117048346069,5.28
LAST→1ST,Double Down (Thu),1,BMNR,255.07433241624858,-11.75968109339407,43.62
LAST→1ST,Double Down (Thu),2,OPAD,30.820166995825083,-15.630662020905916,5.145
LAST→1ST,Double Down (Thu),3,THAR,2.087693529752266,-1.6635859519408491,5.91
LAST→1ST,Double Down (Thu),4,ALTS,0.7835253997876768,2.963410946477163,7.87
LAST→1ST,Double Down (Thu),5,PACK,0.021666854696356097,-6.982872200263513,5.28
LAST→1ST,Stop Loss (Thu),1,BMNR,172.3679940119761,-11.75968109339407,43.62
LAST→1ST,Stop Loss (Thu),2,OPAD,30.820166995825083,-23.926380368098155,5.145
LAST→1ST,Stop Loss (Thu),3,THAR,2.087693529752266,-14.726027397260266,5.91
LAST→1ST,Stop Loss (Thu),4,PACK,0.021666854696356097,-10.178117048346069,5.28
LAST→1ST,Stop Loss (Thu),5,ALTS,-9.412590772187235,-11.163454675231977,7.87
