timestamp,open,high,low,close,volume,day_of_week,day_of_month,rsi
2022-08-29 09:30:00-04:00,16.02,16.338,16.001,16.204,50227830.0,Monday,29,
2022-08-29 09:45:00-04:00,16.199,16.293,16.125,16.133,35329590.0,Monday,29,
2022-08-29 10:00:00-04:00,16.132,16.262,15.967,15.995,32683670.0,Monday,29,
2022-08-29 10:15:00-04:00,15.993,16.173,15.99,16.0462,22367280.0,Monday,29,
2022-08-29 10:30:00-04:00,16.0455,16.09,15.926,15.9829,24883980.0,Monday,29,
2022-08-29 10:45:00-04:00,15.9831,15.995,15.843,15.855,18156650.0,Monday,29,
2022-08-29 11:00:00-04:00,15.851,15.919,15.784,15.8426,21581800.0,Monday,29,
2022-08-29 11:15:00-04:00,15.843,15.909,15.8195,15.8715,14827530.0,Monday,29,
2022-08-29 11:30:00-04:00,15.871,15.9559,15.79,15.79,18548170.0,Monday,29,
2022-08-29 11:45:00-04:00,15.792,15.868,15.767,15.843,15110610.0,Monday,29,
2022-08-29 12:00:00-04:00,15.842,15.93,15.818,15.91,16038270.0,Monday,29,
2022-08-29 12:15:00-04:00,15.91,15.946,15.835,15.849,10202760.0,Monday,29,
2022-08-29 12:30:00-04:00,15.85,15.851,15.77,15.829,11478560.0,Monday,29,
2022-08-29 12:45:00-04:00,15.831,15.94,15.816,15.889,12080530.0,Monday,29,
2022-08-29 13:00:00-04:00,15.889,15.986,15.889,15.9506,11959340.0,Monday,29,35.871989295272044
2022-08-29 13:15:00-04:00,15.9482,15.954,15.862,15.9296,9574540.0,Monday,29,34.98962551454102
2022-08-29 13:30:00-04:00,15.9272,16.032,15.92,16.02,12648320.0,Monday,29,41.644059258369104
2022-08-29 13:45:00-04:00,16.017,16.0439,15.975,15.998,11974690.0,Monday,29,40.55607334830501
2022-08-29 14:00:00-04:00,15.9975,16.019,15.9146,15.918,10115570.0,Monday,29,36.79186221421005
2022-08-29 14:15:00-04:00,15.92,15.925,15.865,15.896,10372340.0,Monday,29,35.80760032445663
2022-08-29 14:30:00-04:00,15.892,15.939,15.88,15.909,8282450.0,Monday,29,36.88212556020632
2022-08-29 14:45:00-04:00,15.909,15.9144,15.843,15.9004,12143200.0,Monday,29,36.44747500605066
2022-08-29 15:00:00-04:00,15.9,15.975,15.894,15.97,15470130.0,Monday,29,42.367051117655954
2022-08-29 15:15:00-04:00,15.969,15.989,15.878,15.887,13495340.0,Monday,29,37.84049281284362
2022-08-29 15:30:00-04:00,15.887,15.938,15.859,15.923,15488850.0,Monday,29,40.79514455386001
2022-08-29 15:45:00-04:00,15.922,15.923,15.772,15.797,28412230.0,Monday,29,34.59665861873708
2022-08-29 16:00:00-04:00,15.796,15.803,15.749,15.77,4753030.0,Monday,29,33.42467318049354
2022-08-30 09:30:00-04:00,15.96,16.039,15.778,15.794,38777980.0,Tuesday,30,35.51576812167305
2022-08-30 09:45:00-04:00,15.794,15.819,15.678,15.719,34180580.0,Tuesday,30,32.120476168533344
2022-08-30 10:00:00-04:00,15.719,15.7815,15.6085,15.655,24983850.0,Tuesday,30,29.526470931669692
2022-08-30 10:15:00-04:00,15.6565,15.672,15.536,15.55,20096790.0,Tuesday,30,25.839520250911946
2022-08-30 10:30:00-04:00,15.5497,15.567,15.399,15.4023,31183960.0,Tuesday,30,21.729202052511766
2022-08-30 10:45:00-04:00,15.4025,15.478,15.316,15.4705,26434470.0,Tuesday,30,27.46663210337202
2022-08-30 11:00:00-04:00,15.468,15.514,15.373,15.4281,20156230.0,Tuesday,30,26.18169585392279
2022-08-30 11:15:00-04:00,15.429,15.526,15.399,15.4386,19076560.0,Tuesday,30,27.091323210240205
