date,open,high,low,close,volume,rsi,ticker,current_price
2024-01-02 00:00:00-05:00,22.43,23.4925,22.355,22.8121,148063.0,,TSLZ,1.24
2024-01-03 00:00:00-05:00,23.35,24.96,23.3053,24.67,225930.0,,TSLZ,1.24
2024-01-04 00:00:00-05:00,24.49,24.8,23.8,24.7,51674.0,,TSLZ,1.24
2024-01-05 00:00:00-05:00,25.03,25.19,24.35,24.81,60944.0,,TSLZ,1.24
2024-01-08 00:00:00-05:00,25.17,25.3,24.1097,24.19,44709.0,,TSLZ,1.24
2024-01-09 00:00:00-05:00,24.73,25.9199,24.73,25.33,62622.0,,TSLZ,1.24
2024-01-10 00:00:00-05:00,25.24,26.0542,25.24,25.54,46538.0,,TSLZ,1.24
2024-01-11 00:00:00-05:00,26.42,27.41,26.42,27.058,51684.0,,TSLZ,1.24
2024-01-12 00:00:00-05:00,28.82,29.4499,27.5798,29.03,168881.0,,TSLZ,1.24
2024-01-16 00:00:00-05:00,30.12,30.87,27.93,28.77,201692.0,,TSLZ,1.24
2024-01-17 00:00:00-05:00,30.35,30.9,29.92,29.97,192924.0,,TSLZ,1.24
2024-01-18 00:00:00-05:00,29.56,31.86,29.56,30.98,211168.0,,TSLZ,1.24
2024-01-19 00:00:00-05:00,31.65,32.2165,30.66,30.95,185480.0,,TSLZ,1.24
2024-01-22 00:00:00-05:00,31.0,32.59,29.37,31.93,357568.0,,TSLZ,1.24
2024-01-23 00:00:00-05:00,31.24,32.11,29.9,31.76,313293.0,90.27719010794121,TSLZ,1.24
2024-01-24 00:00:00-05:00,30.87,32.51,30.76,32.18,456082.0,90.65760729611593,TSLZ,1.24
2024-01-25 00:00:00-05:00,37.93,40.8488,36.93,40.05,844041.0,94.77946754172844,TSLZ,1.24
2024-01-26 00:00:00-05:00,38.72,40.24,38.44,39.86,302701.0,93.7045886010145,TSLZ,1.24
2024-01-29 00:00:00-05:00,38.8,39.61,36.2,36.45,539649.0,76.85774992876085,TSLZ,1.24
2024-01-30 00:00:00-05:00,34.67,36.54,34.4006,36.14,293092.0,75.52833825948518,TSLZ,1.24
2024-01-31 00:00:00-05:00,38.0,38.18,35.3096,37.74,503163.0,77.67474138120852,TSLZ,1.24
2024-02-01 00:00:00-05:00,37.47,39.02,36.88,37.25,160527.0,75.4909873650127,TSLZ,1.24
2024-02-02 00:00:00-05:00,38.83,39.83,37.37,37.66,413535.0,76.09654711461218,TSLZ,1.24
2024-02-05 00:00:00-05:00,39.0,42.77,38.92,40.43,514524.0,79.73884868238758,TSLZ,1.24
2024-02-06 00:00:00-05:00,42.0,42.04,38.02,38.65,337244.0,72.13258029640315,TSLZ,1.24
2024-02-07 00:00:00-05:00,37.3,39.53,36.63,37.46,305230.0,67.4970630305302,TSLZ,1.24
2024-02-08 00:00:00-05:00,37.1,38.32,35.98,36.8,146047.0,65.0020354604427,TSLZ,1.24
2024-02-09 00:00:00-05:00,36.55,36.7125,35.0797,35.23,186257.0,59.379083616410284,TSLZ,1.24
2024-02-12 00:00:00-05:00,35.83,37.5188,34.8623,37.31,260484.0,63.84173861743802,TSLZ,1.24
2024-02-13 00:00:00-05:00,38.81,39.6,37.57,38.86,359707.0,66.77134582565921,TSLZ,1.24
2024-02-14 00:00:00-05:00,38.32,39.12,36.83,36.92,330184.0,60.1972883157393,TSLZ,1.24
2024-02-15 00:00:00-05:00,36.75,36.77,32.13,32.23,333150.0,47.915194268067616,TSLZ,1.24
2024-02-16 00:00:00-05:00,31.79,33.29,31.4855,32.41,151073.0,48.35075012152427,TSLZ,1.24
2024-02-20 00:00:00-05:00,33.68,35.95,33.12,34.47,291729.0,53.17661352707246,TSLZ,1.24
2024-02-21 00:00:00-05:00,34.58,35.04,32.51,34.15,272587.0,52.35821789244996,TSLZ,1.24
2024-02-22 00:00:00-05:00,34.35,35.32,32.97,33.29,268415.0,50.1254968059199,TSLZ,1.24
2024-02-23 00:00:00-05:00,33.9,35.1094,33.22,35.09,233589.0,54.49899860875159,TSLZ,1.24
2024-02-26 00:00:00-05:00,34.91,34.91,31.51,32.4,348974.0,47.7588557917909,TSLZ,1.24
2024-02-27 00:00:00-05:00,30.95,32.65,30.4,32.25,280643.0,47.40677313408351,TSLZ,1.24
2024-02-28 00:00:00-05:00,32.11,32.62,30.5,31.48,621767.0,45.550392646503674,TSLZ,1.24
2024-02-29 00:00:00-05:00,30.93,32.66,30.69,31.58,302510.0,45.84697362290856,TSLZ,1.24
2024-03-01 00:00:00-05:00,32.0,32.62,30.861,31.42,348556.0,45.42068194466042,TSLZ,1.24
2024-03-04 00:00:00-05:00,32.59,36.31,32.39,35.86,418272.0,57.28888058499871,TSLZ,1.24
