ticker,total_return,win_rate,avg_return,volatility,num_trades,risk_reward_ratio,best_month,worst_month,data_days
SBET,337.25973286386085,25.0,129.6156951905116,401.6663425464009,8,0.8396514647599587,May,June,162
TSLL,101.26014673989756,62.5,11.157629102120891,23.510519794742518,8,4.307014375860019,April,February,162
GPRO,92.36891873871873,62.5,9.75428457181684,18.118890462920334,8,5.097934607405925,July,February,162
ALLR,53.48986030876182,75.0,6.934290287146562,19.335885576529833,8,2.76635171929692,January,February,162
TSLA,48.002815926361684,62.5,5.521362112987011,11.159787678484903,8,4.3014094272516425,April,February,162
WBD,46.84711904149672,87.5,4.964542627415143,3.255365070722816,8,14.390742059259996,April,June,162
MSTZ,36.345712967655295,75.0,6.3623563265971965,22.879254683558845,8,1.5885881542187439,February,April,162
RKLB,35.57841558718062,62.5,4.761269420712532,14.325512206270647,8,2.483570225964209,June,February,162
TME,31.681111595212343,75.0,3.643910729759395,5.831048221764671,8,5.4331760586306,April,February,162
UP,30.04000335758299,50.0,3.97932037254996,12.883096015877452,8,2.331737908384827,August,February,162
OKLO,27.60455399026793,62.5,5.223961645173296,21.673361996297114,8,1.2736627568433618,May,February,162
NIO,26.65605974833891,50.0,3.7053030405968097,13.130967910593325,8,2.030014842000665,August,March,162
AMDL,26.0725441486106,50.0,4.029965135321616,16.169859807059073,8,1.6124162150885462,April,August,162
DNN,21.09152603859281,62.5,2.911679117319742,10.830011582391235,8,1.9475072467037808,May,January,162
UUUU,18.35625504432341,50.0,2.618278587244051,11.041517498894967,8,1.6624757463057502,May,February,162
BAC,16.635261712475604,75.0,2.001878653246527,3.718179248353306,8,4.474034359651426,April,February,162
AMD,14.580624128296638,50.0,1.986242742353834,7.956877494395416,8,1.832455525244267,April,August,162
SOFI,13.603910588582547,50.0,2.2341384165720055,12.178249219019518,8,1.117066200890066,April,February,162
T,13.080324571211888,75.0,1.5847797463353896,2.9231403898988,8,4.474750722343765,January,May,162
AAPL,13.020413364613104,75.0,1.6031335505207582,3.792730214286733,8,3.432992232235992,April,May,162
CVE,12.17126792704919,62.5,1.6111670934578148,6.206671273104386,8,1.9609976735503016,August,February,162
ETHA,12.154421946665405,75.0,1.75062799354533,8.340460534374868,8,1.4572842706432636,April,June,162
