month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct,period
January,2025-01-21,2025-01-27,29.53,25.82,,-12.56349475110058,Training
February,2025-02-18,2025-02-24,20.01,17.33,42.04779748712574,-13.393303348325853,Training
March,2025-03-17,2025-03-24,8.34,11.16,30.440512459347772,33.812949640287776,Training
April,2025-04-21,2025-04-28,6.78,10.54,37.5660055938046,55.45722713864305,Training
May,2025-05-19,2025-05-27,14.74,16.46,66.35592462471246,11.66892808683854,Training
