step,ticker,capital,return,cumulative_return,skipped
1,SMCI,142519.8073636787,42.519807363678716,42.5198073636787,False
2,NVDA,157503.56802447917,10.513458401305057,57.503568024479165,False
3,CRM,151901.7132079078,-3.5566526440218396,51.9017132079078,False
4,DRIP,155939.44250770775,2.6581196581196713,55.939442507707746,False
5,SMCI,155939.44250770775,0.0,55.939442507707746,False
6,NVDA,158216.04016604778,1.4599241998877148,58.216040166047776,False
7,CRM,158012.08394365365,-0.12890995260662558,58.01208394365365,False
8,DRIP,153562.17886587538,-2.816180235535078,53.562178865875374,False
9,SMCI,153562.17886587538,0.0,53.562178865875374,False
10,NVDA,160570.287718151,4.563694592010613,60.57028771815099,False
11,CRM,165320.09217077226,2.9580842882704466,65.32009217077226,False
12,DRIP,183433.58391584572,10.95661846496106,83.43358391584572,False
