month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct
January,2025-01-21,2025-01-27,31.27,29.43,,-5.884234090182283
February,2025-02-18,2025-02-24,27.74,22.49,51.03096081551749,-18.925739005046864
March,2025-03-17,2025-03-24,19.1,20.21,41.37677757447021,5.811518324607326
April,2025-04-21,2025-04-28,18.65,22.67,46.81751266891535,21.554959785522808
May,2025-05-19,2025-05-27,25.8,28.76,66.34570611209081,11.472868217054266
June,2025-06-16,2025-06-23,26.55,32.78,52.94493467744198,23.465160075329567
July,2025-07-21,2025-07-28,47.19,45.11,70.8906290967314,-4.407713498622586
August,2025-08-18,2025-08-25,44.97,47.22,56.45543692848781,5.003335557038025
