month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct
January,2025-01-21,2025-01-27,11.1,11.8,,6.306306306306316
February,2025-02-18,2025-02-24,13.61,12.98,73.14996214357245,-4.628949301983829
March,2025-03-17,2025-03-24,13.06,14.18,54.69760538108934,8.575803981623272
April,2025-04-21,2025-04-28,11.97,13.44,38.55211690044679,12.280701754385955
May,2025-05-19,2025-05-27,16.74,17.91,72.28065324087497,6.989247311827968
June,2025-06-16,2025-06-23,18.86,18.36,70.22953886018276,-2.651113467656416
July,2025-07-21,2025-07-28,21.29,21.6,65.12793115117655,1.4560826679192218
August,2025-08-18,2025-08-25,25.51,25.72,79.78506893750642,0.8232065856526746
