month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct
January,2025-01-21,2025-01-27,9.77,10.49,,7.369498464687826
February,2025-02-18,2025-02-24,10.62,11.09,55.76740933755215,4.4256120527307035
March,2025-03-17,2025-03-24,10.48,10.97,48.42637767003653,4.675572519083971
April,2025-04-21,2025-04-28,7.94,8.7,38.0904647083691,9.571788413098222
May,2025-05-19,2025-05-27,9.05,9.55,52.31526308144676,5.524861878453039
June,2025-06-16,2025-06-23,10.76,10.68,65.91793236362875,-0.7434944237918222
July,2025-07-21,2025-07-28,12.8,13.7,76.57594576624132,7.031249999999989
August,2025-08-18,2025-08-25,11.82,12.04,47.22217706023646,1.8612521150592118
