strategy,compound_return_5years,avg_yearly_return,total_trades
Conservative,42.14271035835111,13.14825462215222,23
Moderate,-6.0317426079878995,-1.170596911344499,10
Aggressive,-17.382405844324555,-3.6931157046877146,5
Relaxed,73.91734418044278,19.12825684875231,31
