step,ticker,capital,return,cumulative_return,skipped
1,SMCI,142519.8073636787,42.519807363678716,42.5198073636787,False
2,NVDA,157503.56802447917,10.513458401305057,57.503568024479165,False
3,TSLL,175882.54611146048,11.66892808683854,75.88254611146048,False
4,DRIP,180557.71464485058,2.6581196581196713,80.55771464485058,False
5,SMCI,180557.71464485058,0.0,80.55771464485058,False
6,NVDA,183193.72041571495,1.4599241998877148,83.19372041571495,False
7,TSLL,203721.61026137084,11.205564142194753,103.72161026137083,False
8,DRIP,197984.4425376763,-2.816180235535078,97.9844425376763,False
9,SMCI,197984.4425376763,0.0,97.9844425376763,False
10,NVDA,207019.8478347906,4.563694592010613,107.0198478347906,False
11,TSLL,200639.67409778974,-3.0819140308191466,100.63967409778974,False
12,DRIP,222622.99767802586,10.95661846496106,122.62299767802587,False
