ticker,strategy,current_price,training_actual,training_claimed,testing_actual,testing_claimed,training_diff,testing_diff,status,training_win_rate,testing_win_rate
QS,1st→2nd Monday,8.04,-5.370462050683267,-5.4,73.60111351745806,73.6,0.029537949316733147,0.0011135174580658713,✅ VERIFIED,80.0,100.0
CRML,2nd→3rd Monday,6.51,-65.00691470112912,-65.0,242.16720948741545,242.2,-0.006914701129119294,-0.032790512584540465,✅ VERIFIED,20.0,100.0
OSCR,3rd→4th Monday,17.02,1.1855327069070665,1.2,47.648746207643036,47.6,-0.014467293092933486,0.04874620764303472,✅ VERIFIED,60.0,100.0
UNIT,Last→1st Monday,6.63,-17.765554474104363,-17.8,38.972953216374286,39.0,0.034445525895637985,-0.027046783625714,✅ VERIFIED,20.0,50.0
