ticker,current_price,1st_to_2nd_basic_training_return,1st_to_2nd_basic_training_win_rate,1st_to_2nd_basic_training_trades,1st_to_2nd_basic_testing_return,1st_to_2nd_basic_testing_win_rate,1st_to_2nd_basic_testing_trades,1st_to_2nd_rsi_filter_training_return,1st_to_2nd_rsi_filter_training_win_rate,1st_to_2nd_rsi_filter_training_trades,1st_to_2nd_rsi_filter_testing_return,1st_to_2nd_rsi_filter_testing_win_rate,1st_to_2nd_rsi_filter_testing_trades,1st_to_2nd_double_down_training_return,1st_to_2nd_double_down_training_win_rate,1st_to_2nd_double_down_training_trades,1st_to_2nd_double_down_testing_return,1st_to_2nd_double_down_testing_win_rate,1st_to_2nd_double_down_testing_trades,1st_to_2nd_double_down_double_down_triggers,1st_to_2nd_stop_loss_training_return,1st_to_2nd_stop_loss_training_win_rate,1st_to_2nd_stop_loss_training_trades,1st_to_2nd_stop_loss_testing_return,1st_to_2nd_stop_loss_testing_win_rate,1st_to_2nd_stop_loss_testing_trades,1st_to_2nd_stop_loss_stop_loss_triggers,2nd_to_3rd_basic_training_return,2nd_to_3rd_basic_training_win_rate,2nd_to_3rd_basic_training_trades,2nd_to_3rd_basic_testing_return,2nd_to_3rd_basic_testing_win_rate,2nd_to_3rd_basic_testing_trades,2nd_to_3rd_rsi_filter_training_return,2nd_to_3rd_rsi_filter_training_win_rate,2nd_to_3rd_rsi_filter_training_trades,2nd_to_3rd_rsi_filter_testing_return,2nd_to_3rd_rsi_filter_testing_win_rate,2nd_to_3rd_rsi_filter_testing_trades,2nd_to_3rd_double_down_training_return,2nd_to_3rd_double_down_training_win_rate,2nd_to_3rd_double_down_training_trades,2nd_to_3rd_double_down_testing_return,2nd_to_3rd_double_down_testing_win_rate,2nd_to_3rd_double_down_testing_trades,2nd_to_3rd_double_down_double_down_triggers,2nd_to_3rd_stop_loss_training_return,2nd_to_3rd_stop_loss_training_win_rate,2nd_to_3rd_stop_loss_training_trades,2nd_to_3rd_stop_loss_testing_return,2nd_to_3rd_stop_loss_testing_win_rate,2nd_to_3rd_stop_loss_testing_trades,2nd_to_3rd_stop_loss_stop_loss_triggers,3rd_to_4th_basic_training_return,3rd_to_4th_basic_training_win_rate,3rd_to_4th_basic_training_trades,3rd_to_4th_basic_testing_return,3rd_to_4th_basic_testing_win_rate,3rd_to_4th_basic_testing_trades,3rd_to_4th_rsi_filter_training_return,3rd_to_4th_rsi_filter_training_win_rate,3rd_to_4th_rsi_filter_training_trades,3rd_to_4th_rsi_filter_testing_return,3rd_to_4th_rsi_filter_testing_win_rate,3rd_to_4th_rsi_filter_testing_trades,3rd_to_4th_double_down_training_return,3rd_to_4th_double_down_training_win_rate,3rd_to_4th_double_down_training_trades,3rd_to_4th_double_down_testing_return,3rd_to_4th_double_down_testing_win_rate,3rd_to_4th_double_down_testing_trades,3rd_to_4th_double_down_double_down_triggers,3rd_to_4th_stop_loss_training_return,3rd_to_4th_stop_loss_training_win_rate,3rd_to_4th_stop_loss_training_trades,3rd_to_4th_stop_loss_testing_return,3rd_to_4th_stop_loss_testing_win_rate,3rd_to_4th_stop_loss_testing_trades,3rd_to_4th_stop_loss_stop_loss_triggers,last_to_1st_basic_training_return,last_to_1st_basic_training_win_rate,last_to_1st_basic_training_trades,last_to_1st_basic_testing_return,last_to_1st_basic_testing_win_rate,last_to_1st_basic_testing_trades,last_to_1st_rsi_filter_training_return,last_to_1st_rsi_filter_training_win_rate,last_to_1st_rsi_filter_training_trades,last_to_1st_rsi_filter_testing_return,last_to_1st_rsi_filter_testing_win_rate,last_to_1st_rsi_filter_testing_trades,last_to_1st_double_down_training_return,last_to_1st_double_down_training_win_rate,last_to_1st_double_down_training_trades,last_to_1st_double_down_testing_return,last_to_1st_double_down_testing_win_rate,last_to_1st_double_down_testing_trades,last_to_1st_double_down_double_down_triggers,last_to_1st_stop_loss_training_return,last_to_1st_stop_loss_training_win_rate,last_to_1st_stop_loss_training_trades,last_to_1st_stop_loss_testing_return,last_to_1st_stop_loss_testing_win_rate,last_to_1st_stop_loss_testing_trades,last_to_1st_stop_loss_stop_loss_triggers
TMC,5.52,21.465020022712334,100.0,3,4.682271863099316,66.66666666666666,3,21.465020022712334,100.0,3.0,4.682271863099316,66.66666666666666,3.0,21.465020022712334,100.0,3,4.682271863099316,66.66666666666666,3,0,21.465020022712334,100.0,3,4.682271863099316,66.66666666666666,3,0,10.65393833358729,66.66666666666666,3,4.809450798565191,33.33333333333333,3,22.871366864338533,100.0,2.0,4.809450798565191,33.33333333333333,3.0,10.65393833358729,66.66666666666666,3,4.809450798565191,33.33333333333333,3,0,10.65393833358729,66.66666666666666,3,4.809450798565191,33.33333333333333,3,0,13.130512522782809,66.66666666666666,3,9.50441252065942,100.0,3,16.999139570691064,50.0,2,9.50441252065942,100.0,3,13.130512522782809,66.66666666666666,3,9.50441252065942,100.0,3,0,13.130512522782809,66.66666666666666,3,9.50441252065942,100.0,3,0,-6.184397541355463,33.33333333333333,3,-5.320243579654137,66.66666666666666,3,-1.707299936766667,50.0,2.0,-5.320243579654137,66.66666666666666,3.0,-4.091142447920593,33.33333333333333,3,-2.4719628666441613,66.66666666666666,3,1,-6.184397541355463,33.33333333333333,3,-4.000333065112746,66.66666666666666,3,1
BMNR,55.09,6.731821142427139,100.0,2,5.510668614895465,33.33333333333333,3,6.731821142427139,100.0,2.0,39.18338290001347,50.0,2.0,11.064298677728804,100.0,2,10.605500646396365,33.33333333333333,3,1,-5.463300808792376,50.0,2,7.058243357483235,33.33333333333333,3,1,92.85714285714289,100.0,1,-13.854277153553726,0.0,3,92.85714285714289,100.0,1.0,-13.854277153553726,0.0,3.0,92.85714285714289,100.0,1,-11.501108309818848,0.0,3,1,92.85714285714289,100.0,1,-9.69365789859485,0.0,3,1,2.2957516339869297,50.0,2,-9.414701950216985,0.0,3,2.2957516339869297,50.0,2,-9.414701950216985,0.0,3,4.943372240841334,50.0,2,-7.317808744195023,0.0,3,1,3.082788671023967,50.0,2,-10.550720418110798,0.0,3,1,-7.817652075042642,50.0,2,63.79322276913063,33.33333333333333,3,-7.817652075042642,50.0,2.0,-12.835239592616754,0.0,2.0,-3.6622466696372395,50.0,2,65.0023967034937,33.33333333333333,3,1,-16.567652075042638,0.0,2,63.79322276913063,33.33333333333333,3,0
SATS,74.89,-9.079250762302506,33.33333333333333,3,-4.149062268439503,33.33333333333333,3,-9.079250762302506,33.33333333333333,3.0,-3.911731157761297,50.0,2.0,-7.856906216958781,33.33333333333333,3,-4.149062268439503,33.33333333333333,3,0,-9.079250762302506,33.33333333333333,3,-4.149062268439503,33.33333333333333,3,0,1.9383633562323686,66.66666666666666,3,17.72411568135143,66.66666666666666,3,1.9383633562323686,66.66666666666666,3.0,17.72411568135143,66.66666666666666,3.0,1.9383633562323686,66.66666666666666,3,17.72411568135143,66.66666666666666,3,0,1.9383633562323686,66.66666666666666,3,17.72411568135143,66.66666666666666,3,0,0.7351077313054452,66.66666666666666,3,4.151435331200066,100.0,3,0.7351077313054452,66.66666666666666,3,4.151435331200066,100.0,3,0.7351077313054452,66.66666666666666,3,4.151435331200066,100.0,3,0,0.7351077313054452,66.66666666666666,3,4.151435331200066,100.0,3,0,-7.274099362149351,33.33333333333333,3,39.99925539784976,66.66666666666666,3,-7.274099362149351,33.33333333333333,3.0,39.99925539784976,66.66666666666666,3.0,-6.002636355228659,33.33333333333333,3,39.99925539784976,66.66666666666666,3,0,-7.274099362149351,33.33333333333333,3,39.99925539784976,66.66666666666666,3,0
HOOD,115.03,6.720578502586666,66.66666666666666,3,7.247870580154882,100.0,3,6.720578502586666,66.66666666666666,3.0,6.815831531446836,100.0,1.0,6.720578502586666,66.66666666666666,3,7.247870580154882,100.0,3,0,6.720578502586666,66.66666666666666,3,7.247870580154882,100.0,3,0,6.708466942485816,66.66666666666666,3,3.392654277392847,100.0,3,4.107624669344258,50.0,2.0,1.2321774335504239,100.0,1.0,7.752503260745503,66.66666666666666,3,3.392654277392847,100.0,3,0,6.708466942485816,66.66666666666666,3,3.392654277392847,100.0,3,0,13.532128848432249,100.0,3,-1.4492330649866851,33.33333333333333,3,18.936749364137402,100.0,2,-1.9132632782617829,50.0,2,13.532128848432249,100.0,3,-0.21674245514515741,33.33333333333333,3,1,13.532128848432249,100.0,3,-1.4492330649866851,33.33333333333333,3,0,-4.583467165932153,33.33333333333333,3,-2.3779770584756794,0.0,3,-8.35959941596882,0.0,2.0,-3.4761827189748664,0.0,2.0,-3.3905677735952096,33.33333333333333,3,-2.3779770584756794,0.0,3,0,-4.583467165932153,33.33333333333333,3,-2.3779770584756794,0.0,3,0
OPEN,9.07,-4.186268558360802,0.0,3,10.927206344343226,33.33333333333333,3,-4.186268558360802,0.0,3.0,10.927206344343226,33.33333333333333,3.0,-4.186268558360802,0.0,3,15.357251804890636,66.66666666666666,3,1,-4.186268558360802,0.0,3,4.69414401371992,33.33333333333333,3,1,3.028249550453044,33.33333333333333,3,106.07347544540578,66.66666666666666,3,3.028249550453044,33.33333333333333,3.0,106.07347544540578,66.66666666666666,3.0,4.31612833833183,66.66666666666666,3,106.07347544540578,66.66666666666666,3,0,3.028249550453044,33.33333333333333,3,106.07347544540578,66.66666666666666,3,0,-8.918652720209643,33.33333333333333,3,-3.9082161871642653,33.33333333333333,3,-8.918652720209643,33.33333333333333,3,-4.727664928995145,0.0,1,-4.1712554324405104,33.33333333333333,3,-0.49857823294703846,33.33333333333333,3,1,-9.20396371231506,33.33333333333333,3,-3.0774789078288536,33.33333333333333,3,1,-5.650940881537004,33.33333333333333,3,11.538700307369053,100.0,3,-5.650940881537004,33.33333333333333,3.0,11.538700307369053,100.0,3.0,-4.709576681536017,33.33333333333333,3,16.87573947148856,100.0,3,2,-5.650940881537004,33.33333333333333,3,2.7067914754602214,66.66666666666666,3,1
CRWV,111.96,1.0731193777372123,50.0,2,16.53461591523599,66.66666666666666,3,14.663791413448351,100.0,1.0,7.3726393470636395,50.0,2.0,4.708321562237478,50.0,2,18.51977254900703,66.66666666666666,3,1,-0.34112335044733655,50.0,2,17.76922246919132,66.66666666666666,3,1,14.625419420939473,50.0,2,-12.869484151612815,0.0,3,48.04240041032655,100.0,1.0,-18.193800564248342,0.0,2.0,16.844658488113694,50.0,2,-7.60841826804873,33.33333333333333,3,2,18.838902567006894,50.0,2,-12.224422864828822,0.0,3,1,30.909623289895272,100.0,2,-2.2337538626528395,33.33333333333333,3,18.650289425384734,100.0,1,-2.2337538626528395,33.33333333333333,3,30.909623289895272,100.0,2,-1.2145850287986926,33.33333333333333,3,1,30.909623289895272,100.0,2,-2.2337538626528395,33.33333333333333,3,0,17.597522131000087,66.66666666666666,3,-1.6311225000915226,33.33333333333333,3,21.394574012375045,100.0,1.0,-1.6311225000915226,33.33333333333333,3.0,20.191317451284828,100.0,3,-1.6311225000915226,33.33333333333333,3,0,13.658397073862607,66.66666666666666,3,-1.6311225000915226,33.33333333333333,3,0
MP,63.51,2.4279854691966087,66.66666666666666,3,34.15002348240282,100.0,3,2.4279854691966087,66.66666666666666,3.0,45.668630454420494,100.0,2.0,3.1976083030396274,66.66666666666666,3,34.15002348240282,100.0,3,0,2.4279854691966087,66.66666666666666,3,34.15002348240282,100.0,3,0,-2.0439357647627268,66.66666666666666,3,15.365013354916272,66.66666666666666,3,-2.0439357647627268,66.66666666666666,3.0,25.135427952329348,100.0,1.0,-2.0439357647627268,66.66666666666666,3,15.365013354916272,66.66666666666666,3,0,-2.0439357647627268,66.66666666666666,3,15.365013354916272,66.66666666666666,3,0,-1.791358779265643,33.33333333333333,3,4.76445114509953,100.0,3,-1.791358779265643,33.33333333333333,3,0.13848497438029156,100.0,1,-0.9578608216504639,33.33333333333333,3,5.698193157459396,100.0,3,1,-1.791358779265643,33.33333333333333,3,4.76445114509953,100.0,3,0,2.9682265903116334,66.66666666666666,3,-3.8479960181475135,33.33333333333333,3,2.9682265903116334,66.66666666666666,3.0,-6.793675512169017,0.0,2.0,2.9682265903116334,66.66666666666666,3,-3.8479960181475135,33.33333333333333,3,0,2.9682265903116334,66.66666666666666,3,-3.8479960181475135,33.33333333333333,3,0
OKLO,82.71,-1.0897415188017245,66.66666666666666,3,3.027292889334745,66.66666666666666,3,-1.0897415188017245,66.66666666666666,3.0,2.805622781751926,50.0,2.0,0.5661381290197921,66.66666666666666,3,4.855689618892181,66.66666666666666,3,1,1.4970522184344877,66.66666666666666,3,-1.4858014406932252,33.33333333333333,3,1,15.442307192081683,66.66666666666666,3,5.596426799565815,66.66666666666666,3,15.442307192081683,66.66666666666666,3.0,-1.916823125384051,50.0,2.0,15.442307192081683,66.66666666666666,3,5.596426799565815,66.66666666666666,3,0,15.442307192081683,66.66666666666666,3,5.596426799565815,66.66666666666666,3,0,22.05549898025738,100.0,3,2.723741238710426,66.66666666666666,3,15.25037658516079,100.0,2,11.984771521931187,100.0,2,22.05549898025738,100.0,3,4.429609971941157,66.66666666666666,3,1,22.05549898025738,100.0,3,4.170137979224815,66.66666666666666,3,1,0.8932920067188134,66.66666666666666,3,1.4957521202207615,66.66666666666666,3,2.694297935866718,100.0,2.0,1.4957521202207615,66.66666666666666,3.0,0.8932920067188134,66.66666666666666,3,1.4957521202207615,66.66666666666666,3,0,0.8932920067188134,66.66666666666666,3,1.4957521202207615,66.66666666666666,3,0
NGD,6.52,7.169278846691701,66.66666666666666,3,2.6694010937708454,66.66666666666666,3,7.169278846691701,66.66666666666666,3.0,2.6694010937708454,66.66666666666666,3.0,7.169278846691701,66.66666666666666,3,3.7337134260503233,66.66666666666666,3,1,7.169278846691701,66.66666666666666,3,2.6694010937708454,66.66666666666666,3,0,8.433092013197333,100.0,3,1.2495262853173803,33.33333333333333,3,8.433092013197333,100.0,3.0,1.9771700864122914,50.0,2.0,8.433092013197333,100.0,3,2.228937087678054,66.66666666666666,3,1,8.433092013197333,100.0,3,1.2495262853173803,33.33333333333333,3,0,-0.6788501353718738,33.33333333333333,3,-0.007392996567107642,66.66666666666666,3,-0.6788501353718738,33.33333333333333,3,-3.1841664179275853,50.0,2,0.261707247001364,33.33333333333333,3,-0.007392996567107642,66.66666666666666,3,0,-0.6788501353718738,33.33333333333333,3,-0.007392996567107642,66.66666666666666,3,0,1.3181295475836163,66.66666666666666,3,6.422306864272108,100.0,3,11.680698364502106,100.0,2.0,4.298921417565487,100.0,2.0,1.3181295475836163,66.66666666666666,3,6.422306864272108,100.0,3,0,1.3181295475836163,66.66666666666666,3,6.422306864272108,100.0,3,0
APLD,18.68,-1.501046820346266,66.66666666666666,3,9.175522734698477,66.66666666666666,3,-1.501046820346266,66.66666666666666,3.0,-0.43789932990494274,50.0,2.0,-1.501046820346266,66.66666666666666,3,9.175522734698477,66.66666666666666,3,0,-1.501046820346266,66.66666666666666,3,9.175522734698477,66.66666666666666,3,0,6.540637878816084,66.66666666666666,3,7.221997506150743,66.66666666666666,3,6.540637878816084,66.66666666666666,3.0,16.47815754954869,100.0,2.0,10.276355037939386,66.66666666666666,3,7.221997506150743,66.66666666666666,3,0,6.540637878816084,66.66666666666666,3,7.221997506150743,66.66666666666666,3,0,13.128804913607249,100.0,3,-7.1769910175500184,0.0,3,13.128804913607249,100.0,3,-9.572096073448648,0.0,2,13.128804913607249,100.0,3,-5.588713359802527,0.0,3,1,13.128804913607249,100.0,3,-5.849429689988688,0.0,3,1,12.319199448975906,66.66666666666666,3,7.818344557541341,33.33333333333333,3,1.6803802011318356,50.0,2.0,7.818344557541341,33.33333333333333,3.0,13.993345287881473,66.66666666666666,3,7.818344557541341,33.33333333333333,3,0,12.319199448975906,66.66666666666666,3,7.818344557541341,33.33333333333333,3,0
