strategy,total_return,avg_yearly_return,total_trades
Simple,-3.133308399031176,-0.783327099757794,48
Conservative,-0.1473682469576576,0.7538062390919142,10
Moderate,-17.609808318372366,-4.4024520795930915,2
Aggressive,-17.609808318372366,-4.4024520795930915,2
Relaxed,34.718556549367705,10.982397228004817,16
