strategy_formatted,variant_formatted,rank,ticker,training_return,testing_return,current_price
1ST→2ND,Basic Strategy,1,RUN,24.705115265610008,9.554428110228507,15.75
1ST→2ND,Basic Strategy,2,TMC,21.465020022712334,4.682271863099316,5.39
1ST→2ND,Basic Strategy,3,CDE,20.10546016490462,11.140584153252306,13.42
1ST→2ND,Basic Strategy,4,ARRY,17.832381623481044,-0.2671154792334149,8.75
1ST→2ND,Basic Strategy,5,CRML,17.548658647258993,8.619753302423234,5.76
1ST→2ND,Basic Strategy,6,QBTS,16.03539317825032,0.15547360793792517,15.0758
1ST→2ND,Basic Strategy,7,EOSE,14.392873049136545,2.4163881892813577,7.395
1ST→2ND,Basic Strategy,8,OKTA,12.85433929033681,-6.12346934856409,89.88
1ST→2ND,Basic Strategy,9,XPEV,12.692865016193513,5.5089904616025995,20.81
1ST→2ND,Basic Strategy,10,MARA,11.367333491988818,8.53944183734735,16.22
1ST→2ND,RSI Filter (≤70),1,RUN,24.705115265610008,9.554428110228507,15.75
1ST→2ND,RSI Filter (≤70),2,TMC,21.465020022712334,4.682271863099316,5.39
1ST→2ND,RSI Filter (≤70),3,CDE,20.10546016490462,12.713193726981588,13.42
1ST→2ND,RSI Filter (≤70),4,ARRY,17.832381623481044,-0.2671154792334149,8.75
1ST→2ND,RSI Filter (≤70),5,CRML,17.548658647258993,8.619753302423234,5.76
1ST→2ND,RSI Filter (≤70),6,QBTS,16.03539317825032,0.15547360793792517,15.0758
1ST→2ND,RSI Filter (≤70),7,CRWV,14.663791413448351,7.3726393470636395,94.15
1ST→2ND,RSI Filter (≤70),8,EOSE,14.392873049136545,2.4163881892813577,7.395
1ST→2ND,RSI Filter (≤70),9,OKTA,12.85433929033681,-6.12346934856409,89.88
1ST→2ND,RSI Filter (≤70),10,XPEV,12.692865016193513,5.5089904616025995,20.81
1ST→2ND,Double Down (Thu),1,RUN,26.188046337582175,9.554428110228507,15.75
1ST→2ND,Double Down (Thu),2,TMC,21.465020022712334,4.682271863099316,5.39
1ST→2ND,Double Down (Thu),3,CRML,21.198886656274528,9.506781262655808,5.76
1ST→2ND,Double Down (Thu),4,CDE,20.10546016490462,11.140584153252306,13.42
1ST→2ND,Double Down (Thu),5,ARRY,17.832381623481044,-0.2671154792334149,8.75
1ST→2ND,Double Down (Thu),6,QBTS,16.03539317825032,0.15547360793792517,15.0758
1ST→2ND,Double Down (Thu),7,EOSE,14.392873049136545,5.146607152579731,7.395
1ST→2ND,Double Down (Thu),8,OKTA,12.85433929033681,-6.12346934856409,89.88
1ST→2ND,Double Down (Thu),9,XPEV,12.692865016193513,5.5089904616025995,20.81
1ST→2ND,Double Down (Thu),10,SOXL,12.076365858641426,10.114166917460716,24.285
1ST→2ND,Stop Loss (Thu),1,RUN,24.705115265610008,9.554428110228507,15.75
1ST→2ND,Stop Loss (Thu),2,TMC,21.465020022712334,4.682271863099316,5.39
1ST→2ND,Stop Loss (Thu),3,CDE,20.10546016490462,11.140584153252306,13.42
1ST→2ND,Stop Loss (Thu),4,ARRY,17.832381623481044,-0.2671154792334149,8.75
1ST→2ND,Stop Loss (Thu),5,CRML,17.178288276888622,8.619753302423234,5.76
1ST→2ND,Stop Loss (Thu),6,QBTS,16.03539317825032,0.15547360793792517,15.0758
1ST→2ND,Stop Loss (Thu),7,EOSE,14.392873049136545,2.4163881892813577,7.395
1ST→2ND,Stop Loss (Thu),8,OKTA,12.85433929033681,-6.12346934856409,89.88
1ST→2ND,Stop Loss (Thu),9,XPEV,12.692865016193513,5.5089904616025995,20.81
1ST→2ND,Stop Loss (Thu),10,MARA,11.367333491988818,8.53944183734735,16.22
2ND→3RD,Basic Strategy,1,BMNR,92.85714285714289,-13.854277153553726,43.9384
2ND→3RD,Basic Strategy,2,QBTS,51.008493947349876,0.21503448765598362,15.0758
2ND→3RD,Basic Strategy,3,QUBT,30.470246158650585,12.93003505575561,14.7918
2ND→3RD,Basic Strategy,4,FL,25.269566540008128,2.0857990644434827,24.045
2ND→3RD,Basic Strategy,5,MSTU,17.87319864637693,-11.971325592026952,5.505
2ND→3RD,Basic Strategy,6,SMR,15.748532709770286,6.635477955509408,33.2175
2ND→3RD,Basic Strategy,7,OKLO,15.442307192081683,5.596426799565815,71.92
2ND→3RD,Basic Strategy,8,ACHR,15.376389869330692,1.718807600790912,8.625
2ND→3RD,Basic Strategy,9,CRWV,14.625419420939473,-12.869484151612815,94.15
2ND→3RD,Basic Strategy,10,ALTS,13.890277864474669,-1.9040782867743973,5.805
2ND→3RD,RSI Filter (≤70),1,BMNR,92.85714285714289,-13.854277153553726,43.9384
2ND→3RD,RSI Filter (≤70),2,QBTS,51.008493947349876,0.21503448765598362,15.0758
2ND→3RD,RSI Filter (≤70),3,CRWV,48.04240041032655,-18.193800564248342,94.15
2ND→3RD,RSI Filter (≤70),4,QUBT,30.470246158650585,12.93003505575561,14.7918
2ND→3RD,RSI Filter (≤70),5,FL,25.269566540008128,4.094041345764078,24.045
2ND→3RD,RSI Filter (≤70),6,TMC,22.871366864338533,4.809450798565191,5.39
2ND→3RD,RSI Filter (≤70),7,MSTU,17.87319864637693,-11.971325592026952,5.505
2ND→3RD,RSI Filter (≤70),8,SMR,15.748532709770286,-0.33338919613429807,33.2175
2ND→3RD,RSI Filter (≤70),9,OKLO,15.442307192081683,-1.916823125384051,71.92
2ND→3RD,RSI Filter (≤70),10,ACHR,15.376389869330692,1.718807600790912,8.625
2ND→3RD,Double Down (Thu),1,BMNR,92.85714285714289,-11.501108309818848,43.9384
2ND→3RD,Double Down (Thu),2,QBTS,52.3312452701012,2.0330710904635665,15.0758
2ND→3RD,Double Down (Thu),3,QUBT,31.681856205697184,14.021877927465312,14.7918
2ND→3RD,Double Down (Thu),4,FL,26.84688269244892,2.0857990644434827,24.045
2ND→3RD,Double Down (Thu),5,MSTU,17.87319864637693,-8.920359049819785,5.505
2ND→3RD,Double Down (Thu),6,ALTS,17.34851970947317,-1.9040782867743973,5.805
2ND→3RD,Double Down (Thu),7,CRWV,16.844658488113694,-7.60841826804873,94.15
