month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct,period
January,2025-01-06,2025-01-13,0.51,0.3992,,-21.725490196078432,Training
February,2025-02-03,2025-02-10,1.06,1.57,78.40745452467473,48.113207547169814,Training
March,2025-03-03,2025-03-10,0.9393,0.9149,44.86743278362806,-2.597679122750982,Training
April,2025-04-07,2025-04-14,0.5119,0.5251,33.182126230996545,2.5786286384059367,Training
May,2025-05-05,2025-05-12,0.5754,0.8378,43.72408346713053,45.60305874174487,Training
June,2025-06-02,2025-06-09,0.93,0.9682,63.895612554684575,4.107526881720419,Testing
July,2025-07-07,2025-07-14,0.7036,0.7267,43.10191371564039,3.283115406480956,Testing
August,2025-08-04,2025-08-11,0.728,0.7698,46.40446278179468,5.74175824175825,Testing
