year,month,buy_date,buy_price,buy_rsi,sell_date,sell_price,sell_rsi,return_pct,days_held,action
2022,January,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,February,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,March,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,April,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,May,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,June,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,July,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,August,2022-08-29,160.4,26.97151368906644,2022-08-29,160.4,26.97151368906644,0.0,0,buy
2022,September,2022-09-19,152.83,62.70022311983246,2022-09-26,146.32,46.7712242668356,-4.259634888438146,7,buy
2022,October,2022-10-17,147.18,53.91559816321557,2022-10-24,160.65,53.98038010393487,9.152058703628208,7,buy
2022,November,2022-11-21,144.85,47.00278478847609,2022-11-28,153.7,53.19760997139428,6.10976872626855,7,buy
2022,December,2022-12-19,129.01,61.7194828201318,2022-12-27,130.66,56.13999059279351,1.2789706224323742,8,buy
2023,January,2023-01-17,148.47,51.39883181436204,2023-01-23,155.87,58.25651803608088,4.984171886576417,6,buy
2023,February,2023-02-21,161.35,29.88968607640598,2023-02-27,163.14,55.11443670156059,1.1093895258754212,6,buy
2023,March,2023-03-20,185.25,58.55272775649459,2023-03-27,191.26,55.33726911046398,3.2442645074223972,7,buy
2023,April,2023-04-17,197.08,67.36989060065093,2023-04-24,194.98,41.36289103427789,-1.0655571341587287,7,buy
2023,May,2023-05-15,203.33,46.94658348661744,2023-05-22,210.27,34.280936188623414,3.4131707077165188,7,buy
2023,July,2023-07-17,228.0,36.557270217471135,2023-07-24,225.66,64.35372112754882,-1.0263157894736858,7,buy
2023,September,2023-09-18,215.0,48.88204292456391,2023-09-25,206.34,55.35900529465055,-4.027906976744185,7,buy
2023,October,2023-10-16,208.53,54.58629023124294,2023-10-23,202.0,42.81966261839071,-3.1314439169424073,7,buy
2023,November,2023-11-20,225.13,64.64992906691192,2023-11-27,224.79,44.58989177604074,-0.1510238528850013,7,buy
2023,December,2023-12-18,263.07,43.36684505368312,2023-12-26,266.22,59.07678833052858,1.1973999315771597,8,buy
2024,January,2024-01-16,269.19,40.88711377881991,2024-01-22,281.0,44.16310270772688,4.38723578141833,6,buy
2024,February,2024-02-20,286.39,46.02112150767878,2024-02-26,300.39,50.88224059833566,4.888438842138343,6,buy
2024,March,2024-03-18,300.51,63.27920731671389,2024-03-25,306.06,42.66079490071971,1.846860337426379,7,buy
2024,April,2024-04-15,272.7,20.42352006400145,2024-04-22,273.81,52.138128242983626,0.40704070407041204,7,buy
2024,May,2024-05-20,287.07,52.646620782971546,2024-05-28,269.85,53.279182051168966,-5.998536942209207,8,buy
2024,June,2024-06-17,230.48,54.23626902020219,2024-06-24,239.94,35.21084622103564,4.104477611940302,7,buy
2024,July,2024-07-15,252.86,42.50450445759923,2024-07-22,254.14,59.846149894391246,0.5062089693901656,7,buy
2024,August,2024-08-19,265.4,68.74820753072223,2024-08-26,265.5,52.80858716820368,0.037678975131884986,7,buy
2024,September,2024-09-16,256.6,44.340900432132536,2024-09-23,263.86,46.86915382106447,2.8293063133281335,7,buy
2024,October,2024-10-21,292.5,63.14352854993835,2024-10-28,293.77,57.69541470598124,0.4341880341880279,7,buy
2024,November,2024-11-18,322.75,54.07430346066416,2024-11-25,339.19,39.55992389034903,5.093725793958171,7,buy
2024,December,2024-12-16,357.33,62.51834817337932,2024-12-23,342.776,56.27884263128897,-4.0729857554641296,7,buy
2025,January,2025-01-21,326.84,49.69439235476133,2025-01-27,347.1,54.03022779049721,6.19875168278058,6,buy
2025,February,2025-02-18,328.96,62.22152142010167,2025-02-24,308.32,40.24410441498742,-6.274319066147855,6,buy
2025,March,2025-03-17,280.5,51.58130696511053,2025-03-24,285.96,68.76906904697496,1.946524064171116,7,buy
2025,April,2025-04-21,236.26,48.18552747014539,2025-04-28,265.64,51.65685382247749,12.435452467620417,7,buy
2025,May,2025-05-19,287.63,34.16876769936528,2025-05-27,277.4,50.83978025213927,-3.5566526440218396,8,buy
2025,June,2025-06-16,263.75,64.53927056214098,2025-06-23,263.41,61.28072876568311,-0.12890995260662558,7,buy
2025,July,2025-07-21,262.67,50.12729653796349,2025-07-28,270.44,64.60646275663564,2.9580842882704466,7,buy
