month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct
January,2025-01-21,2025-01-27,5.76,4.488,,-22.083333333333325
February,2025-02-18,2025-02-24,6.036,4.7904,45.560601257654326,-20.636182902584487
March,2025-03-17,2025-03-24,3.918,3.4956,34.535139067582094,-10.78101071975498
April,2025-04-21,2025-04-28,2.58,3.1548,33.46407366145,22.27906976744185
May,2025-05-19,2025-05-27,2.93,35.83,44.38251616930207,1122.8668941979522
June,2025-06-16,2025-06-23,13.41,9.0,43.61472517301404,-32.88590604026846
July,2025-07-21,2025-07-28,25.245,20.925,53.56021476508952,-17.112299465240643
August,2025-08-18,2025-08-25,20.12,19.17,46.721761456892516,-4.72166998011928
