ticker,data_points,start_date,end_date,current_price,ytd_return,file_saved
HIMS,415,2024-01-02,2025-08-27,44.01,356.53526970954357,daily_data_hims_complete.csv
GDX,415,2024-01-02,2025-08-27,61.48,101.1780104712042,daily_data_gdx_complete.csv
NVTS,415,2024-01-02,2025-08-27,6.07,-20.44560943643512,daily_data_nvts_complete.csv
UP,415,2024-01-02,2025-08-27,2.91,-24.61139896373057,daily_data_up_complete.csv
BZ,415,2024-01-02,2025-08-27,22.85,46.0997442455243,daily_data_bz_complete.csv
WULF,415,2024-01-02,2025-08-27,9.13,296.9565217391305,daily_data_wulf_complete.csv
LWLG,415,2024-01-02,2025-08-27,3.6,-21.739130434782606,daily_data_lwlg_complete.csv
RKT,415,2024-01-02,2025-08-27,18.08,26.610644257703076,daily_data_rkt_complete.csv
LYG,415,2024-01-02,2025-08-27,4.49,87.86610878661088,daily_data_lyg_complete.csv
FSM,415,2024-01-02,2025-08-27,7.58,103.2171581769437,daily_data_fsm_complete.csv
U,415,2024-01-02,2025-08-27,40.34,3.9958752255736085,daily_data_u_complete.csv
COMP,415,2024-01-02,2025-08-27,9.28,162.14689265536722,daily_data_comp_complete.csv
APH,415,2024-01-02,2025-08-27,110.13,127.47082515749253,daily_data_aph_complete.csv
QBTS,415,2024-01-02,2025-08-27,15.23,1752.5726797226614,daily_data_qbts_complete.csv
CX,415,2024-01-02,2025-08-27,8.93,17.345597897503275,daily_data_cx_complete.csv
BTG,415,2024-01-02,2025-08-27,4.06,30.12820512820511,daily_data_btg_complete.csv
RUN,415,2024-01-02,2025-08-27,15.8,-18.80781089414183,daily_data_run_complete.csv
ITUB,415,2024-01-02,2025-08-27,6.96,12.423072574262228,daily_data_itub_complete.csv
GPRO,415,2024-01-02,2025-08-27,1.7,-50.29239766081872,daily_data_gpro_complete.csv
EQX,415,2024-01-02,2025-08-27,8.2,74.46808510638296,daily_data_eqx_complete.csv
BBD,415,2024-01-02,2025-08-27,3.02,-11.695906432748536,daily_data_bbd_complete.csv
TPR,415,2024-01-02,2025-08-27,100.98,164.55331412103743,daily_data_tpr_complete.csv
HL,415,2024-01-02,2025-08-27,8.03,71.2153518123667,daily_data_hl_complete.csv
AG,415,2024-01-02,2025-08-27,9.08,51.83946488294313,daily_data_ag_complete.csv
UBER,415,2024-01-02,2025-08-27,95.33,63.2922233641658,daily_data_uber_complete.csv
EBAY,415,2024-01-02,2025-08-27,93.67,113.51720993845453,daily_data_ebay_complete.csv
SMCI,415,2024-01-02,2025-08-27,44.76,56.80504466631633,daily_data_smci_complete.csv
AMDL,363,2024-03-18,2025-08-27,11.24,-55.938847510780086,daily_data_amdl_complete.csv
QS,415,2024-01-02,2025-08-27,8.04,19.99999999999997,daily_data_qs_complete.csv
CIFR,415,2024-01-02,2025-08-27,6.99,69.2493946731235,daily_data_cifr_complete.csv
ALLR,415,2024-01-02,2025-08-27,1.59,-99.51206039403425,daily_data_allr_complete.csv
LRCX,415,2024-01-02,2025-08-27,103.67,38.3557987454958,daily_data_lrcx_complete.csv
ORCL,415,2024-01-02,2025-08-27,235.81,126.60964827983854,daily_data_orcl_complete.csv
NIO,415,2024-01-02,2025-08-27,6.34,-24.703087885985752,daily_data_nio_complete.csv
