month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct,days_held,period
January,2025-01-27,2025-02-03,2.41,2.545,39.909203466776745,5.601659751037335,7,Training
February,2025-02-24,2025-03-03,3.285,4.275,61.4824846453544,30.136986301369866,7,Training
March,2025-03-31,2025-04-07,4.2,4.88,48.675691307255,16.190476190476183,7,Training
April,2025-04-28,2025-05-05,2.45,2.535,37.446147646384674,3.4693877551020393,7,Training
May,2025-05-27,2025-06-02,1.435,1.595,30.837793450537617,11.149825783972119,6,Training
June,2025-06-30,2025-07-07,1.65,1.875,46.5910529079914,13.636363636363644,7,Testing
July,2025-07-28,2025-08-04,1.465,1.615,43.05318067497167,10.238907849829344,7,Testing
