month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct
January,2025-01-21,2025-01-27,1.67,1.63,,-2.3952095808383254
February,2025-02-18,2025-02-24,1.46,1.31,40.91147836477519,-10.27397260273972
March,2025-03-17,2025-03-24,1.1,1.16,37.998934410199276,5.454545454545439
April,2025-04-21,2025-04-28,0.7801,0.8501,36.43083490334359,8.973208563004736
May,2025-05-19,2025-05-27,1.59,1.66,69.20858263732711,4.40251572327043
June,2025-06-16,2025-06-23,1.37,1.32,47.95636686495708,-3.6496350364963535
July,2025-07-21,2025-07-28,1.47,1.43,54.806471512921505,-2.721088435374152
August,2025-08-18,2025-08-25,1.81,2.39,71.45281727604322,32.04419889502763
