rank,ticker,training_return,testing_return,training_win_rate,testing_win_rate,consistency_gap,composite_score,risk_adjusted
1,TSLZ,83.63805593235367,25.271486192987915,100.0,100.0,58.36656973936575,22.353157706019626,4.329787805902765
2,TSLQ,86.71287559317429,25.18171860997711,100.0,100.0,61.53115698319718,22.105160760817252,4.092515051659713
3,TSLS,39.2161275977738,12.565302051671743,100.0,100.0,26.650825546102055,11.23276077436664,2.5130604103343486
4,UVIX,132.81604235471414,6.701768819415888,80.0,50.0,126.11427353529825,0.3960551426509751,0.5314044660884577
5,SOXS,68.70469962489621,6.09276584853633,60.0,50.0,62.611933776359876,2.962169159718336,0.9730997720496456
6,UVXY,93.28103648393584,5.026639621365803,80.0,50.0,88.25439686257003,0.6139197782373005,0.5695625147371749
7,TZA,47.384222554161546,0.2476812816188944,80.0,50.0,47.13654127254265,-2.109145782008238,0.04953625632377888
8,LABD,40.1972149490807,-3.143573781891029,60.0,0.0,43.34078873097173,-5.310613218439616,-0.6287147563782058
9,ETHD,125.96471173526896,-3.9885162932488782,80.0,50.0,129.95322802851786,-10.486177694674772,-0.3069193704348468
10,CRWV,58.238653635390605,-5.852768157554067,40.0,0.0,64.09142179294467,-9.0573392472013,-0.9131905633896161
