month,buy_date,buy_price,thursday_date,thursday_price,double_down,sell_date,sell_price,shares_bought_monday,shares_bought_thursday,total_shares,total_cost,avg_cost,total_proceeds,return_dollar,return_pct,days_held
January,2025-01-27,10.03,2025-01-30,10.125,False,2025-02-03,10.55,9970.089730807578,0.0,9970.089730807578,100000,10.03,105184.44666001995,5184.446660019952,5.184446660019952,7
February,2025-02-24,10.44,2025-02-27,11.27,False,2025-03-03,10.89,9578.544061302682,0.0,9578.544061302682,100000,10.44,104310.34482758622,4310.344827586217,4.310344827586218,7
March,2025-03-31,10.59,2025-04-03,12.4799,False,2025-04-07,16.35,9442.870632672333,0.0,9442.870632672333,100000,10.59,154390.93484419267,54390.93484419267,54.39093484419267,7
April,2025-04-28,12.18,2025-05-01,12.58,False,2025-05-05,12.46,8210.180623973727,0.0,8210.180623973727,100000,12.18,102298.85057471265,2298.8505747126474,2.2988505747126475,7
May,2025-05-19,10.29,2025-05-22,10.875,False,2025-06-02,10.57,9718.172983479108,0.0,9718.172983479108,100000,10.289999999999997,102721.08843537417,2721.0884353741712,2.721088435374171,14
June,2025-06-30,9.765,2025-07-03,9.26,True,2025-07-07,9.39,10240.655401945723,10799.136069114471,21039.791471060194,200000,9.505797634691197,197563.64191325524,-2436.35808674476,-1.21817904337238,7
July,2025-07-28,8.99,2025-07-31,9.37,False,2025-08-04,10.05,11123.470522803114,0.0,11123.470522803114,100000,8.99,111790.87875417131,11790.87875417131,11.790878754171311,7
