strategy,current_ticker,recommended_ticker,testing_return_pct,training_return_pct,consistency_score
1st_to_to_to_2nd,SMCI,PTHL,104.49070704524294,40.84332208058959,66.30227606645093
2nd_to_to_to_3rd,NVDA,CRML,242.16720948741545,-65.00691470112912,57.862734974288706
3rd_to_to_to_4th,TSLL,IXHL,158.2644817332367,13.125557929636456,71.18112745107655
last_to_to_to_1st,DRIP,BTBT,65.26027397260276,-21.5703899131803,13.161875641132925
