ticker,current_price,1st_to_2nd_training_return,1st_to_2nd_training_win_rate,1st_to_2nd_training_trades,2nd_to_3rd_training_return,2nd_to_3rd_training_win_rate,2nd_to_3rd_training_trades,3rd_to_4th_training_return,3rd_to_4th_training_win_rate,3rd_to_4th_training_trades,last_to_1st_training_return,last_to_1st_training_win_rate,last_to_1st_training_trades,1st_to_2nd_testing_return,1st_to_2nd_testing_win_rate,1st_to_2nd_testing_trades,2nd_to_3rd_testing_return,2nd_to_3rd_testing_win_rate,2nd_to_3rd_testing_trades,3rd_to_4th_testing_return,3rd_to_4th_testing_win_rate,3rd_to_4th_testing_trades,last_to_1st_testing_return,last_to_1st_testing_win_rate,last_to_1st_testing_trades
MP,24.8205,34.985645740861024,60.0,5,-17.419320083144473,40.0,5,-1.9098275711857182,60.0,5,20.521232044655278,50.0,4,,,,,,,,,,,,
SATS,17.85,-27.894347086297756,33.33333333333333,6,31.091251377064676,66.66666666666666,6,-8.817555557026058,33.33333333333333,6,-12.993702595845003,66.66666666666666,6,,,,,,,,,,,,
BMNR,46.03,-12.701311877657616,50.0,6,129.15869272960103,50.0,6,-29.038420699368416,33.33333333333333,6,-19.701917016900396,50.0,6,-35.23107773935259,33.33333333333333,3.0,-39.76935917801347,0.0,3.0,-23.648781932617545,0.0,3.0,182.75104295963888,50.0,2.0
HOOD,49.9,5.5466573878396375,66.66666666666666,3,48.2479480425513,100.0,3,-31.61433768022296,0.0,3,21.36995062630236,100.0,2,,,,,,,,,,,,
OKLO,34.34,-19.294897592508654,33.33333333333333,3,17.302636304483766,33.33333333333333,3,-18.514849876442153,33.33333333333333,3,87.45838976432813,100.0,2,,,,,,,,,,,,
THAR,5.1,-5.379867217983792,66.66666666666666,6,-13.517158286163244,16.666666666666664,6,3.985818854361378,33.33333333333333,6,-12.470700153111135,50.0,6,-6.8363992270706,33.33333333333333,3.0,-9.996592844974451,66.66666666666666,3.0,439.63845839814724,66.66666666666666,3.0,-20.646755806843807,0.0,2.0
PLTR,83.915,-6.582994830370992,50.0,2,17.57121855088397,100.0,2,9.94885334789426,100.0,2,9.517508554723285,50.0,2,,,,,,,,,,,,
IREN,6.605,8.024099720243004,50.0,4,-0.3891855412551215,66.66666666666666,3,-40.90367260660946,0.0,3,-6.504826216320714,66.66666666666666,3,,,,,,,,,,,,
TME,14.205,11.636181432535508,60.0,5,-2.8954407917218927,60.0,5,28.44780218252292,80.0,5,-14.550214629129144,20.0,5,,,,,,,,,,,,
CRWV,147.355,0.7776352618713567,16.666666666666664,6,20.246567401457582,16.666666666666664,6,70.31069531069531,33.33333333333333,6,57.58719122996585,33.33333333333333,6,34.84085708342,100.0,1.0,-2.2617174241722937,0.0,1.0,9.584543502967557,100.0,1.0,-2.118280886494439,0.0,1.0
APLD,7.54,-13.395279326480026,33.33333333333333,3,51.154772598250055,100.0,3,-48.97558884806493,0.0,3,39.22881149112711,100.0,2,,,,,,,,,,,,
RBLX,66.275,-6.680990162084965,40.0,5,31.59589297623644,100.0,5,-2.60074622948826,50.0,4,2.146206946651663,75.0,4,,,,,,,,,,,,
BE,17.95,-3.6315368317100583,40.0,5,10.550992377723789,60.0,5,-33.39357566029483,0.0,4,7.826239729439743,75.0,4,,,,,,,,,,,,
KGC,14.39,36.46553245938675,80.0,5,13.390694897858246,60.0,5,-5.034464328634314,25.0,4,4.861202994944502,50.0,4,,,,,,,,,,,,
SBET,28.98,-12.080266610732371,33.33333333333333,6,-51.33455714861188,0.0,6,631.1615417799852,33.33333333333333,6,189.95270693094852,66.66666666666666,6,-0.02800200999949487,50.0,2.0,-54.73836221542644,0.0,1.0,-32.44998310874217,0.0,1.0,27.828282828282823,100.0,1.0
CDE,5.84,39.08894328735679,60.0,5,7.120332060241474,40.0,5,-29.231077520984872,0.0,4,0.5760150867426761,50.0,4,,,,,,,,,,,,
SMR,17.61,-19.57284691486264,33.33333333333333,3,-0.7891894106729969,33.33333333333333,3,-39.67916766131994,0.0,3,52.795309721595764,100.0,2,,,,,,,,,,,,
XPEV,25.45,34.829741103859476,100.0,4,16.722318443804674,66.66666666666666,3,7.757406742779116,100.0,3,15.189010267909243,66.66666666666666,3,,,,,,,,,,,,
NEM,50.955,14.027338816096279,100.0,4,19.14867208835762,75.0,4,-14.714155882142466,0.0,4,-5.330545449714219,50.0,4,,,,,,,,,,,,
RKLB,27.24,-13.904048704953652,33.33333333333333,3,31.944580191488715,66.66666666666666,3,-7.034125140968928,0.0,2,5.725868568636128,50.0,2,,,,,,,,,,,,
JOBY,7.4865,-17.08003175151611,33.33333333333333,3,7.988035162932361,66.66666666666666,3,-13.16755286005069,0.0,2,14.558492723093085,50.0,2,,,,,,,,,,,,
SOFI,14.765,-11.489197623076086,0.0,3,37.900137478076566,100.0,2,-16.783715132463584,0.0,2,-6.374338295717308,0.0,2,,,,,,,,,,,,
HIMS,37.43,17.221626096178277,66.66666666666666,3,43.9173920838295,66.66666666666666,3,-20.618235257866345,33.33333333333333,3,7.827705992617151,66.66666666666666,3,,,,,,,,,,,,
GDX,44.7,14.105653603483637,100.0,4,11.177695972774227,50.0,4,-7.446347212427151,0.0,3,5.135741925196702,66.66666666666666,3,,,,,,,,,,,,
BZ,18.155,34.60917973003339,66.66666666666666,6,9.924137523817954,50.0,6,10.991313367085564,60.0,5,-17.146993672293377,20.0,5,,,,,,,,,,,,
RKT,12.52,-20.190373852556,20.0,5,13.867125786595347,60.0,5,-6.141790863003549,40.0,5,22.260911520604655,50.0,4,,,,,,,,,,,,
FSM,5.435,35.4895722800044,66.66666666666666,6,-4.460561317153367,40.0,5,-10.218783863113924,40.0,5,3.403949830678754,40.0,5,,,,,,,,,,,,
COMP,6.465,-29.846557517035244,16.666666666666664,6,27.040962401975953,60.0,5,20.2126639745158,80.0,5,-3.236488843393215,60.0,5,,,,,,,,,,,,
U,22.92,-14.749775803239817,25.0,4,0.09915899003545281,50.0,4,15.521268202697925,50.0,4,-5.343489706961302,33.33333333333333,3,,,,,,,,,,,,
QBTS,6.265,-36.96503853851723,50.0,2,156.3999211844846,100.0,2,-0.3646547084095064,50.0,2,13.60189095072306,100.0,2,,,,,,,,,,,,
RUN,6.735,-4.910177213314859,40.0,5,-10.138387246670689,25.0,4,-1.7111126225910933,50.0,4,-18.75134745457312,50.0,4,,,,,,,,,,,,
CX,7.04,17.4308162053177,66.66666666666666,6,7.103594237531041,66.66666666666666,6,17.987257053058126,40.0,5,-11.671087205067021,40.0,5,,,,,,,,,,,,
APH,80.725,3.771232688118986,60.0,5,4.987162862117467,60.0,5,10.073390026971897,40.0,5,-1.2670274582681107,60.0,5,,,,,,,,,,,,
EQX,6.03,37.79592074693947,66.66666666666666,6,8.415610202521151,60.0,5,-18.08893178315444,0.0,5,-7.6758676868936,40.0,5,,,,,,,,,,,,
TPR,83.76,-1.8633413138378185,50.0,6,28.513294141936196,80.0,5,9.106539297590466,60.0,5,-1.7382890563605202,60.0,5,,,,,,,,,,,,
HL,5.645,45.16434696529177,100.0,5,2.7970604428834367,60.0,5,-14.0654218253922,0.0,4,-5.474438132520854,50.0,4,,,,,,,,,,,,
AG,6.275,8.351612488171956,50.0,4,13.313023675771785,50.0,4,-11.209113901712186,25.0,4,-10.918973429358015,50.0,4,,,,,,,,,,,,
UBER,70.6,2.0370530408252208,25.0,4,-2.0617439565283058,66.66666666666666,3,-2.2288317059789398,66.66666666666666,3,4.160306411175441,33.33333333333333,3,,,,,,,,,,,,
SMCI,33.82,-10.372502073878099,50.0,2,-21.014969771403578,50.0,2,-12.961279080675304,0.0,2,9.715888596249055,50.0,2,,,,,,,,,,,,
EBAY,68.8872,21.445013743610495,83.33333333333334,6,-3.397367247289551,20.0,5,3.19194611871354,60.0,5,-8.904333579032798,60.0,5,,,,,,,,,,,,
ITUB,6.61,16.15572004181487,83.33333333333334,6,19.865992239197716,80.0,5,-0.38814599752006185,40.0,5,-2.5035866774980042,40.0,5,,,,,,,,,,,,
ORCL,125.5,-4.919519515741467,50.0,4,4.766553992369715,75.0,4,-13.934402955028835,25.0,4,-9.409721713968189,25.0,4,,,,,,,,,,,,
LRCX,65.14,4.475828308761276,40.0,5,20.54928066845698,100.0,4,-15.565052485157905,0.0,4,-10.737705971748213,50.0,4,,,,,,,,,,,,
C,62.86,-4.120627847233882,80.0,5,21.475833872847574,75.0,4,-4.874859047979085,25.0,4,-17.396525873830605,25.0,4,,,,,,,,,,,,
NU,11.59,1.58525618104417,25.0,4,15.713056341814857,50.0,4,-23.713665209798762,33.33333333333333,3,5.807867548751222,66.66666666666666,3,,,,,,,,,,,,
AMD,110.57,-19.322757737644757,0.0,3,0.8569587091881381,50.0,2,-7.426919366110319,0.0,2,5.0357127861969,50.0,2,,,,,,,,,,,,
ARRY,6.735,45.49938786106116,50.0,6,-21.719621678365097,20.0,5,35.49700621771035,60.0,5,-27.31065148553111,20.0,5,,,,,,,,,,,,
MU,92.855,6.60811187916559,66.66666666666666,3,34.80960098749859,100.0,3,-38.19388773553246,0.0,3,14.805174147875654,50.0,2,,,,,,,,,,,,
IBKR,51.115,3.522325662686465,50.0,6,6.776830464293315,66.66666666666666,6,8.105322114121872,60.0,5,1.010841092035486,60.0,5,,,,,,,,,,,,
ETHA,14.13,-24.69887700152271,25.0,4,13.657099142077378,66.66666666666666,3,-20.073482911785145,33.33333333333333,3,-24.604785989085,33.33333333333333,3,,,,,,,,,,,,
PSLV,10.775,17.397953761616904,80.0,5,11.358084275481461,80.0,5,-8.646322616959967,20.0,5,-9.427851241192265,50.0,4,,,,,,,,,,,,
ALTS,6.83,0.21720277735901572,33.33333333333333,6,106.12011767145195,83.33333333333334,6,33.722770321752236,66.66666666666666,6,43.64603152875193,66.66666666666666,6,-3.5799075317574203,33.33333333333333,3.0,-2.8420519712574865,33.33333333333333,3.0,1.7930402512736476,33.33333333333333,3.0,-0.6352999633253309,50.0,2.0
KWEB,37.745,21.641929184992435,75.0,4,11.76053478557495,75.0,4,-2.297406512371525,33.33333333333333,3,-4.524496456158467,33.33333333333333,3,,,,,,,,,,,,
WBA,11.09,38.49388594578331,75.0,4,21.94588757346625,50.0,4,-11.771129913803458,0.0,4,-16.45059884745472,33.33333333333333,3,,,,,,,,,,,,
SLV,29.95,6.4746048066753215,75.0,4,2.0750792064684553,66.66666666666666,3,-6.201458751563593,0.0,3,5.064047184079379,66.66666666666666,3,,,,,,,,,,,,
NVDA,124.91,-10.76977681294462,50.0,2,0.4918083701781262,50.0,2,-10.945342061655927,50.0,2,8.821675522235983,100.0,1,,,,,,,,,,,,
RIOT,11.55,-17.852009070799234,0.0,3,34.896778916780825,66.66666666666666,3,-30.844374541260354,0.0,2,28.530783017533444,100.0,2,,,,,,,,,,,,
AVGO,197.64,10.635895388301563,66.66666666666666,3,44.91128204087058,66.66666666666666,3,-28.820323529042213,0.0,3,8.122828715068309,100.0,2,,,,,,,,,,,,
CCL,21.19,-23.572286290254397,0.0,4,18.048784525626193,75.0,4,-8.624713197833334,33.33333333333333,3,0.03644530633657439,33.33333333333333,3,,,,,,,,,,,,
NVDL,54.39,-21.309044220420724,0.0,2,-0.18472104476924267,50.0,2,-24.844429091920063,50.0,2,12.350802171173791,50.0,2,,,,,,,,,,,,
FXI,36.79,11.452705430410216,66.66666666666666,3,3.0430052988573486,66.66666666666666,3,2.46458057765937,66.66666666666666,3,-2.717698752691311,33.33333333333333,3,,,,,,,,,,,,
EWZ,26.8863,7.150085828618491,80.0,5,14.323337948871018,80.0,5,-10.947337281795077,25.0,4,-7.417022822402508,50.0,4,,,,,,,,,,,,
GLD,281.445,4.916714897853636,75.0,4,7.8293717517954775,75.0,4,-0.8785892815586616,50.0,4,1.6727192392493206,66.66666666666666,3,,,,,,,,,,,,
T,26.8101,-0.7528888458166905,50.0,4,4.958382477100987,50.0,4,10.516483681019517,75.0,4,-1.3147660830548857,75.0,4,,,,,,,,,,,,
