ticker,training_return,testing_return,training_win_rate,testing_win_rate,avg_performance,consistency_score
PTHL,40.84332208058959,104.49070704524294,40.0,66.66666666666666,72.66701456291626,66.30227606645093
TLRY,-30.19462035318786,98.89772644974397,20.0,100.0,34.351553048278056,21.44231836798487
CGC,-7.837900400458942,87.49887302779867,40.0,66.66666666666666,39.830486313669866,30.296808970844104
PLUG,-12.201193126922528,84.81733381753504,40.0,100.0,36.308070345306255,26.606217650860497
CAN,-12.394661072440016,76.85448857990913,20.0,100.0,32.22991375373456,23.304998788499642
QS,-5.370462050683267,73.60111351745806,80.0,100.0,34.115325733387394,26.21816817657326
MSOS,-22.055141346251737,56.81977175753106,40.0,66.66666666666666,17.38231520563966,9.49482389526138
GPRO,-8.678764187657395,52.28590236871993,20.0,100.0,21.80356909053127,15.707102434893535
SOUN,-25.970919303024232,51.109331469705396,60.0,100.0,12.569206083340582,4.861181006067619
MSTU,-21.354562054172042,47.86876317384934,40.0,100.0,13.257100559838648,6.334768037036509
CRWV,0.31069094364057914,47.39332150711639,20.0,66.66666666666666,23.852006225378485,19.143743169030905
IBRX,16.054529326032487,40.78493535509218,80.0,100.0,28.419732340562334,25.946691737656366
ETHA,5.3201975502890075,39.99486217918577,40.0,100.0,22.65752986473739,19.190063401847716
HL,38.68865901852578,39.03827554340329,80.0,66.66666666666666,38.863467280964535,38.82850562847678
FFAI,7.638888888888862,36.30424609240946,20.0,100.0,21.97156749064916,19.105031770297103
AG,17.30217742188771,36.04588547552934,40.0,100.0,26.674031448708526,24.799660643344364
NIO,4.250437918851935,33.49505349298161,80.0,100.0,18.872745705916774,15.948284148503806
SOXL,20.603852879915287,32.39011737161519,60.0,100.0,26.49698512576524,25.31835867659525
HPP,-16.39947758090039,30.872306171305432,40.0,100.0,7.236414295202522,2.50923591998194
PACK,-32.642077871738685,28.91365791821212,20.0,100.0,-1.8642099767632825,-8.019783555758362
MU,17.140016492566936,28.314576037674534,60.0,66.66666666666666,22.727296265120735,21.609840310609975
UEC,8.95687457179526,27.61804464048032,60.0,100.0,18.28745960613779,16.421342599269284
KSS,-7.6138321632973955,27.420488126084063,40.0,100.0,9.903327981393334,6.3998959524551875
MARA,6.436489526422684,26.862440052116842,40.0,66.66666666666666,16.649464789269764,14.606869736700348
ETSY,-2.2517727733446513,26.03687807243926,40.0,100.0,11.892552649547305,9.063687564968914
RIOT,-17.94354903633275,25.749984658305024,20.0,66.66666666666666,3.9032178109861366,-0.46613555847764143
CRML,52.27194455988611,23.986352900008747,60.0,66.66666666666666,38.12914872994743,35.3005895639597
MSTR,-3.101984090465948,23.46319429669128,40.0,100.0,10.180605103112667,7.524087264396943
AMDL,0.9911437054224592,23.411957696616504,40.0,66.66666666666666,12.201550701019482,9.959469301900077
QUBT,-66.33577404841982,22.161954123699147,40.0,66.66666666666666,-22.086909962360338,-30.936682779572237
CIFR,-22.09205923597306,21.67331018737171,60.0,66.66666666666666,-0.20937452430067616,-4.585911466635153
CLSK,20.048452026370335,21.481636076851117,80.0,66.66666666666666,20.765044051610726,20.62172564656265
HKPD,8.613565271120937,21.281561166429587,40.0,66.66666666666666,14.947563218775262,13.680763629244396
CLF,-2.8501368069087762,21.244126764165337,60.0,100.0,9.19699497862828,6.787568621520869
RXRX,6.527325613349588,20.03489874578033,40.0,66.66666666666666,13.281112179564959,11.930354866321885
IBIT,-4.880456321527193,19.874922115751904,40.0,100.0,7.497232897112355,5.0216950533844456
BITO,-5.855061731675148,19.642450362194698,40.0,100.0,6.893694315259775,4.34394310587279
OPAD,5.995119178318431,18.800810032694095,60.0,100.0,12.397964605506264,11.117395520068698
AMC,-5.84908014447233,18.685628563751976,60.0,66.66666666666666,6.418274209639823,3.964803338817392
RIG,27.68332757357499,17.84459205278679,60.0,100.0,22.76395981318089,21.78008626110207
HIVE,-13.439783805042548,17.839335639679078,40.0,100.0,2.1997759173182647,-0.9281360271538981
MRKR,-10.139428677433637,17.812682605534146,40.0,66.66666666666666,3.8366269640502546,1.041415835753476
NVDL,28.427243682012325,17.487786090215216,60.0,100.0,22.95751488611377,21.86356912693406
TNA,1.8413348592900336,16.432036473118817,60.0,100.0,9.136685666204425,7.677615504821547
AUR,5.698216259862887,16.362641400381108,60.0,100.0,11.030428830121998,9.963986316070176
INTC,-1.8930018701258544,16.359404189191416,60.0,100.0,7.233201159532781,5.407960553601054
DNN,8.672127738542446,15.73787008178764,60.0,66.66666666666666,12.204998910165044,11.498424675840525
MRVL,-21.58494007395946,15.103844438535429,40.0,100.0,-3.240547817712015,-6.909426268961504
ACHR,-21.609328657602443,14.089493078082583,60.0,66.66666666666666,-3.75991778975993,-7.329799963328433
LUMN,2.0002547212430777,13.487528344671196,80.0,66.66666666666666,7.743891532957137,6.595164170614325
AAL,-2.6834740834043247,13.419286723423184,40.0,100.0,5.36790632000943,3.757630239326679
EQX,30.522440400193496,13.350783405597145,60.0,100.0,21.936611902895322,20.219446203435687
CORZ,-16.1075056437886,13.18187649471325,60.0,66.66666666666666,-1.4628145745376742,-4.391752788387859
LRCX,17.885157568256126,12.635028950138638,60.0,100.0,15.260093259197383,14.735080397385634
NCLH,-5.241037747215671,12.631041725114468,40.0,66.66666666666666,3.6950019889493984,1.9077940417163843
AMD,4.597890022395124,12.273522705330908,40.0,66.66666666666666,8.435706363863016,7.668143095569437
CONY,-27.487588650750094,11.80337133146101,40.0,66.66666666666666,-7.842108659644542,-11.771204657865653
EBAY,17.814497942076102,11.761626972267214,80.0,100.0,14.788062457171659,14.182775360190771
VTRS,1.1500807778122235,11.084610477794943,60.0,66.66666666666666,6.117345627803584,5.123892657805312
TQQQ,9.971886071139924,10.937198645201729,60.0,100.0,10.454542358170826,10.358011100764646
AMZN,4.048488492234825,10.876759297399929,40.0,100.0,7.462623894817376,6.779796814300866
AAPL,7.979391133015179,10.873397047717415,40.0,33.33333333333333,9.426394090366298,9.136993498896075
GOOG,-6.66906348366364,10.56849139546243,20.0,100.0,1.9497139558993952,0.22595846798678787
GOOGL,-6.599672897131626,10.256892832478325,20.0,100.0,1.8286099676733496,0.14295339471235446
SLV,11.049963454220112,10.136581386900723,80.0,100.0,10.593272420560417,10.501934213828479
BEKE,8.659771099454105,9.423131769871752,60.0,66.66666666666666,9.041451434662928,8.965115367621163
FCX,23.82429765892322,9.366276899397196,80.0,100.0,16.59528727916021,15.149485203207607
PSLV,13.926831257731909,9.076856162283754,80.0,100.0,11.501843710007831,11.016846200463016
NVOX,-21.760327656454425,8.964742518716552,40.0,66.66666666666666,-6.397792568868937,-9.470299586386034
NVDA,17.318370398969485,8.878544690661915,60.0,100.0,13.0984575448157,12.254474973984943
AVTR,-0.016899291280414452,8.74275101868447,80.0,66.66666666666666,4.362925863702028,3.4869608327055395
TSLG,-34.073148410984935,8.72957396399443,40.0,66.66666666666666,-12.671787223495253,-16.95205946099319
IQ,13.060693083642239,8.692297369833613,60.0,66.66666666666666,10.876495226737926,10.439655655357065
SBUX,1.6346189531409205,8.500712508524844,80.0,66.66666666666666,5.067665730832882,4.38105637529449
IXHL,-46.063902142207965,8.49335486325673,40.0,66.66666666666666,-18.78527363947562,-24.24099934002209
KHC,0.2204428253110402,8.486334777987548,40.0,66.66666666666666,4.353388801649293,3.5267996063816427
BITF,8.056578030427453,8.3672535144105,60.0,100.0,8.211915772418976,8.180848224020671
RR,-42.13803658501861,8.350947934352003,60.0,33.33333333333333,-16.893544325333302,-21.942442777270365
TSLL,-34.130242975748615,8.220019707267777,40.0,66.66666666666666,-12.955111634240419,-17.19013790254206
ECX,111.7177479088991,8.120921587174257,100.0,66.66666666666666,59.919334748036675,49.55965211586419
F,5.744003507845941,8.042362929790748,60.0,100.0,6.893183218818344,6.663347276623863
MRK,-15.128804850950772,7.830685144016125,40.0,100.0,-3.6490598534673233,-5.945008852964014
KWEB,22.235238608766373,7.554081767991683,80.0,100.0,14.894660188379028,13.426544504301559
EOSE,21.871018524603315,7.3933443072981,40.0,100.0,14.632181415950708,13.184413994220186
TSM,6.205497277015559,7.379802552411596,60.0,66.66666666666666,6.792649914713578,6.675219387173974
HPE,-8.98003749038705,7.353935136994516,60.0,66.66666666666666,-0.8130511766962667,-2.4464484394344232
PFE,-5.568666068720674,7.198470946033142,20.0,100.0,0.814902438656234,-0.46181126281914775
TPR,1.8345695538496187,6.906291724802571,60.0,66.66666666666666,4.370430639326095,3.8632584222307997
TEVA,-7.870601712205982,6.767928815764002,20.0,66.66666666666666,-0.5513364482209901,-2.0151895010179883
CVX,14.291788326030396,6.739174728354236,80.0,100.0,10.515481527192316,9.7602201674247
VALE,7.411628073157828,6.585598059303566,60.0,66.66666666666666,6.998613066230696,6.9160100648452705
TSLA,-13.984826876432066,6.425149919514306,40.0,66.66666666666666,-3.7798384784588803,-5.820836158053517
FXI,21.925064769050962,6.171533447083122,80.0,66.66666666666666,14.048299108067042,12.472945975870257
BTE,19.167213350174485,5.981800454988617,60.0,66.66666666666666,12.57450690258155,11.255965613062964
IWM,2.4456412348620837,5.610955305161736,60.0,100.0,4.028298270011909,3.711766862981944
MRNA,-17.471435885494447,5.384380207789596,40.0,66.66666666666666,-6.043527838852425,-8.32910944818083
NVO,-9.200816598388005,5.280945483678434,40.0,66.66666666666666,-1.9599355573547856,-3.4081117655614297
IEMG,9.086746205637763,5.0726840552889785,80.0,100.0,7.07971513046337,6.678308915428492
ORCL,0.9498898777075881,5.049505349421191,60.0,66.66666666666666,2.9996976135643894,2.589736066393029
EEM,9.86750159256884,5.042736465507658,80.0,100.0,7.455119029038249,6.972642516332131
CSCO,10.330819773093648,4.780856719444881,60.0,66.66666666666666,7.555838246269264,7.000841940904388
OSCR,11.569106057790224,4.729076273567623,40.0,66.66666666666666,8.149091165678923,7.465088187256663
HAL,15.866621468846077,4.651638051760565,80.0,66.66666666666666,10.25912976030332,9.137631418594768
CSX,8.143371548470423,4.566664946238275,60.0,66.66666666666666,6.355018247354349,5.997347587131134
KRE,-3.5257861600092033,4.520077101758346,60.0,66.66666666666666,0.4971454708745715,-0.30744085530218357
IONQ,-47.5074922967807,4.455556848712217,40.0,33.33333333333333,-21.52596772403424,-26.72227263858353
SLB,18.46950148334696,4.413242660825256,100.0,66.66666666666666,11.441372072086107,10.035746189833937
PEP,-2.809332400235487,3.9099578482768793,40.0,66.66666666666666,0.5503127240206962,-0.12161630083054042
QQQ,5.665135555141831,3.7848547885529715,60.0,100.0,4.724995171847402,4.5369670951885155
QCOM,16.84825902501206,3.762808062478551,80.0,66.66666666666666,10.305533543745305,8.996988447491955
WFC,-11.567095250127746,3.6966647055888258,60.0,100.0,-3.93521527226946,-5.461591267841118
HST,11.465076334590197,3.6908958916993972,60.0,66.66666666666666,7.577986113144798,6.800568068855718
UBER,30.50035679321215,3.6141888053306648,60.0,66.66666666666666,17.057272799271406,14.368656000483258
AMCR,15.217834154445908,3.610513457573883,100.0,66.66666666666666,9.414173806009895,8.253441736322692
BMY,-14.618246724294615,3.460497371628235,20.0,100.0,-5.578874676333189,-7.386749085925475
COTY,6.81478088034928,3.4499104669356573,40.0,66.66666666666666,5.132345673642469,4.7958586323011065
PDD,9.484871067937828,3.443045720440141,60.0,66.66666666666666,6.463958394188984,5.859775859439216
IBKR,6.610514994323524,3.4008842331086475,60.0,66.66666666666666,5.005699613716086,4.684736537594598
C,1.5279347882585448,3.2662231648580953,80.0,66.66666666666666,2.39707897655832,2.223250138898365
SCHD,5.042583200833772,3.1548501604871326,60.0,100.0,4.098716680660452,3.909943376625788
UNH,10.326676447216588,3.126820767971905,60.0,33.33333333333333,6.726748607594247,6.006763039669778
XOM,15.77853886826237,2.941353175993755,100.0,66.66666666666666,9.359946022128062,8.0762274529012
RF,0.6089797259948737,2.8982444727498224,60.0,66.66666666666666,1.753612099372348,1.5246856246968532
TFC,-5.998926285519901,2.8810966051064923,60.0,66.66666666666666,-1.5589148402067043,-2.4469171292693437
SCHX,4.782129618645281,2.716364691075457,60.0,100.0,3.749247154860369,3.5426706621033865
VEA,9.41823946794418,2.6630276249836937,60.0,100.0,6.040633546463937,5.3651123621678884
SPY,4.926301487275131,2.615665543260959,60.0,100.0,3.770983515268045,3.5399199208666277
SPLG,4.846034651539699,2.5817206537187554,60.0,100.0,3.713877652629227,3.487446252847133
WBA,48.98807464026358,2.539540087046821,100.0,66.66666666666666,25.7638073636552,21.118953908333523
JNJ,4.349809416917116,2.527554171221591,80.0,66.66666666666666,3.4386817940693537,3.256456269499801
CVE,27.071200050422384,2.4239818696894844,60.0,66.66666666666666,14.747590960055934,12.282869141982644
FL,-1.351511409414352,2.2044414268885593,60.0,66.66666666666666,0.4264650087371036,0.07086972510681244
EFA,9.476347043855782,2.1665257930886694,60.0,66.66666666666666,5.821436418472226,5.090454293395515
