ticker,current_price,volatility_pct,avg_volume,month_change_pct,ytd_return_pct,days_of_data
CELC,53.58,414.8316042865642,1702511.219512195,284.36154949784793,301.6491754122938,41
ANPA,42.1,311.3322716391128,696244.975,250.54121565362203,1096.0227272727273,40
BGLC,5.69,237.6090479890884,1736643.9024390243,11.568627450980408,-4.047217537942653,41
BGL,10.07,205.43210270913167,217439.36585365853,-49.218356026222885,-86.51399491094146,41
BCTX,8.47,186.66240780899412,177079.63902439023,5.217391304347824,-70.69204152249135,41
ARTL,9.05,167.31971026525187,329488.4146341463,-36.13267466478475,-36.80167597765362,41
ATHR,7.02,156.6398167407723,109688.85365853658,-15.523465703971128,-43.84,41
BKKT,9.2,155.80975246801924,1318948.1219512196,-58.91022778025905,-45.8186101295642,41
ASST,6.46,147.20593769837492,5616825.731707317,49.883990719257554,-7.449856733524361,41
AEHR,24.88,141.28350992757234,2035827.2926829269,23.78109452736317,67.88124156545207,41
AMRC,25.46,140.0621865859194,806620.5609756098,32.328482328482345,58.431860609831986,41
ATLX,5.15,132.42634241093674,491479.85365853657,-3.5580524344569193,33.766233766233775,41
AIP,9.05,130.04643792397283,1278436.975609756,-4.131355932203378,-2.58342303552205,41
AVAH,8.24,129.59265914993534,1235772.0487804879,104.97512437810947,91.6279069767442,41
CAPR,6.33,126.09634862201293,2193528.536585366,-2.9141104294478453,-36.06060606060606,41
ARCT,16.7,120.47835454029487,566317.0,14.934618031658637,25.0,41
AMBQ,37.01,120.09070925866936,681972.2916666666,0.0,-3.9449779392681106,24
BKTI,66.82,119.9802788092185,74844.39024390244,64.17690417690415,40.584893751314944,41
AIRO,20.55,110.03322916212026,1007903.8780487805,-13.800335570469796,-3.475810239549077,41
CDNA,13.85,108.30701220098166,1879397.8292682928,6.374807987711215,-24.932249322493224,41
ATYR,5.65,106.59609006399022,4967374.707317073,7.824427480916032,6.60377358490567,41
BIRD,6.79,105.54679707190819,62366.70731707317,-42.31096006796941,-34.01360544217687,41
ALAB,174.24,103.32339672705486,5672435.731707317,49.037721324095465,94.42088819459941,41
AEVA,13.765,102.64151591146396,2879142.1951219514,-46.77107501933488,-59.05710886377156,41
BULL,13.45,101.66233470535815,14877085.121951219,-20.742486741308188,5.738993710691813,41
ALMU,20.23,100.4438348440801,300894.2926829268,15.732265446224256,29.017857142857146,41
ASPI,8.67,99.83860067955621,4898440.780487805,-7.024128686327072,29.596412556053803,41
ARX,21.22,99.79449322348238,2312965.3571428573,0.0,-19.924528301886795,28
ALGN,137.16,99.20520983121499,1751372.5853658537,-29.32082860970834,-29.236960222875723,41
AMPX,7.32,98.84855644754157,9223699.902439024,-10.622710622710613,48.17813765182186,41
BLMN,7.07,93.89434593511452,2718202.3414634145,-28.944723618090446,-25.813221406086033,41
BLBX,6.25,90.66428503365155,67874.21951219512,-18.193717277486908,-17.491749174917494,41
AMSC,48.76,90.041146932177,1116231.4146341463,18.263400436575314,21.11276701440636,41
BHVN,15.89,89.0357015427797,1936978.780487805,18.31720029784066,15.228426395939099,41
BGM,7.5,88.76226756555877,62807.525,-29.444967074317972,-25.0,40
ARQQ,27.74,88.6283595284303,591513.8780487805,-29.522357723577237,-22.815804117974402,41
ASTH,31.88,88.56794298111127,407966.0243902439,38.85017421602787,32.00828157349897,41
BRBR,41.62,88.53019178293849,3591019.1463414636,-24.7241815879906,-27.33938547486034,41
AAOI,23.35,87.96148887494458,5010571.12195122,-11.385199240986717,-11.686838124054463,41
ANIK,9.15,87.89600495000082,137947.0,-16.818181818181817,-15.356151711378354,41
BETR,21.99,87.48326286151334,51538.21951219512,52.285318559556785,64.34977578475333,41
AIRS,6.28,85.91669380468365,738616.7804878049,-0.4754358161648076,16.512059369202237,41
AVTX,9.02,85.8773811612374,228775.73170731709,40.49844236760124,89.89473684210525,41
ATEC,15.68,82.9429837386934,2402112.1219512196,45.99627560521415,43.4583714547118,41
AARD,8.86,82.73125317241035,59844.73170731707,-35.56363636363637,-36.35057471264368,41
CEP,22.7,82.71830046334144,482607.1951219512,-20.905923344947734,-18.02094618996028,41
ARWR,25.68,82.69995027728689,2391055.2439024393,71.65775401069517,52.49406175771971,41
AEO,13.51,82.25790489627977,13746368.07317073,32.580961727183514,36.32694248234107,41
AI,16.82,81.93402895621912,8843922.121951219,-40.96174096174096,-34.42495126705653,41
ARQ,7.3,80.99413182289774,275885.4146341463,31.059245960502686,21.061359867330008,41
BKSY,17.06,80.59893077232397,2067662.5853658537,-15.292949354518381,-21.237303785780245,41
ARHS,11.24,79.49804114592419,2249854.3658536584,21.120689655172427,22.573609596510362,41
ASYS,5.925,79.35759376550516,60835.78048780488,27.693965517241388,24.736842105263154,41
CEPO,10.41,78.88485762794045,752307.756097561,-14.602132895816238,-11.629881154499145,41
ADUR,11.27,78.24926528877842,241854.73170731709,4.062788550323171,27.34463276836158,41
ATRA,12.34,77.857909004956,59711.0,-5.222734254992317,43.82284382284382,41
ALGS,10.62,76.62725829669138,79576.19512195123,16.447368421052634,41.59999999999999,41
AMR,140.3,76.20020842240656,414028.7073170732,-0.7428369296073456,24.888730639131214,41
AREN,5.99,75.17428265591994,212795.82926829267,-6.112852664576797,-11.127596439169139,41
BLZE,8.19,75.02632941627755,526308.6829268293,51.94805194805194,49.45255474452553,41
ACMR,27.58,74.8839378572983,1290047.3414634147,-6.824324324324335,-1.4295925661186637,41
ATKR,57.46,74.00108491741679,626650.6829268293,-23.519233328896576,-21.971754481260184,41
BMBL,6.1,73.81461726025162,3733941.463414634,-20.676202860858268,-3.78548895899054,41
