ticker,current_price,1st_to_2nd_training_return,1st_to_2nd_training_win_rate,1st_to_2nd_training_trades,1st_to_2nd_testing_return,1st_to_2nd_testing_win_rate,1st_to_2nd_testing_trades,2nd_to_3rd_training_return,2nd_to_3rd_training_win_rate,2nd_to_3rd_training_trades,2nd_to_3rd_testing_return,2nd_to_3rd_testing_win_rate,2nd_to_3rd_testing_trades,3rd_to_4th_training_return,3rd_to_4th_training_win_rate,3rd_to_4th_training_trades,3rd_to_4th_testing_return,3rd_to_4th_testing_win_rate,3rd_to_4th_testing_trades,last_to_1st_training_return,last_to_1st_training_win_rate,last_to_1st_training_trades,last_to_1st_testing_return,last_to_1st_testing_win_rate,last_to_1st_testing_trades
WMT,96.995,5.378254780352476,75.0,4,,,,-0.4934775998216012,50.0,4,,,,-2.745061100454327,50.0,4,,,,1.5549074958180809,66.66666666666666,3,,,
AGNC,8.795,-3.2349943027799033,25.0,4,,,,7.902676234762973,75.0,4,,,,9.02258974677479,50.0,4,,,,-12.38665589846859,25.0,4,,,
XOM,104.72,9.707403826097094,100.0,4,5.711519845111335,100.0,1.0,4.8992257986997245,75.0,4,-2.5183150183150205,0.0,1.0,4.855225305950817,75.0,4,,,,-22.674964227968253,0.0,4,,,
AMZN,203.02,-10.532261568222367,0.0,3,,,,3.285389352384227,66.66666666666666,3,,,,-0.7525757190403715,66.66666666666666,3,,,,-2.7425475043939773,50.0,2,,,
XLP,81.505,3.62479496889061,50.0,4,-2.1843243882717633,0.0,2.0,-0.4718085915109027,50.0,4,1.5923960004937454,100.0,1.0,2.7705023428554743,50.0,4,0.07290400972053135,100.0,1.0,-3.5805716705601065,50.0,4,0.6313744536182497,100.0,1.0
QCOM,152.6651,7.013508028736237,75.0,4,9.04789217092057,100.0,1.0,7.406625776884579,75.0,4,0.3715318869164985,100.0,1.0,4.391424750730932,75.0,4,,,,-24.213944783274467,0.0,4,,,
LQD,107.885,-2.373658322824601,25.0,4,0.013340836633424225,50.0,2.0,1.4352562085797604,25.0,4,0.8204633339742973,100.0,2.0,3.924327258268767,100.0,4,0.09802548662651844,100.0,1.0,-2.8289388563142337,25.0,4,-0.15855250886028793,0.0,1.0
XLE,83.62,7.91528833261681,100.0,4,5.043478260869572,100.0,1.0,8.177259558033168,100.0,4,-0.21286660359508547,0.0,1.0,2.6012788997519465,50.0,4,,,,-23.349490643328743,0.0,4,,,
WMB,58.549,-1.588682078156367,50.0,4,-7.615593837453661,0.0,2.0,18.447751491066523,75.0,4,1.6254359590359035,50.0,2.0,-1.4072430885400444,50.0,4,2.6819268875982294,100.0,1.0,-4.093148067299901,75.0,4,1.9547496256862473,100.0,1.0
HLN,10.875,5.445908777342745,50.0,4,-3.968462549277263,50.0,2.0,4.582484778109075,75.0,4,1.6339869281045694,100.0,1.0,4.0662243433624345,75.0,4,3.2154340836012762,100.0,1.0,-3.5555378219483402,50.0,4,1.602136181575431,100.0,1.0
