strategy,best_variant,avg_testing,median_testing,win_rate,best_testing,worst_testing,top_10_tickers,run_date
1ST→2ND,Double Down (Thu),6.0116410991857405,3.852977472089393,90.0,18.894540541658422,-0.2671154792334149,"BULL, RUN, ASPI, TMC, AEVA, CRML, CDE, ARRY, CBRL, QBTS",2025-09-12
2ND→3RD,Basic Strategy,1.8646781338738254,3.8411129320046484,70.0,12.93003505575561,-13.854277153553726,"BMNR, QBTS, ARQQ, QUBT, AREN, CAPR, FL, SMR, OKLO, CDTX",2025-09-12
3RD→4TH,Double Down (Thu),-1.775953941054595,-1.3137071551815318,30.0,8.915356699744235,-11.989687133701414,"SBET, NVTS, CEP, ATHR, TSLL, TSLG, CRWV, AEVA, AMPX, SMR",2025-09-12
LAST→1ST,Double Down (Thu),3.1771176515814914,3.788045888010271,70.0,12.407717640320735,-7.322946002391192,"SBET, ATHR, UVIX, UVXY, CRWV, HIMS, CRML, ONDS, APLD, AREN",2025-09-12
