rank,ticker,training_return,testing_return,training_win_rate,testing_win_rate,consistency_gap,composite_score,risk_adjusted
1,IXHL,98.07741525497968,237.28936039725173,40.0,66.66666666666666,139.21194514227204,230.32876314013814,17.04518675856058
2,RAY,103.96157243133216,44.37551734517273,100.0,100.0,59.586055086159426,41.39621459086476,7.447299083822084
3,RGTI,165.20425339860716,40.765999863917536,60.0,100.0,124.43825353468964,34.54408718718305,3.2760022505903463
4,QUBT,189.235003840818,34.674439082138434,60.0,33.33333333333333,154.56056475867956,26.946410844204458,2.24342083223342
5,ACHR,86.13426922672984,4.433880032718807,80.0,66.66666666666666,81.70038919401104,0.34886057301825435,0.5426999891261016
6,RR,98.05566760143918,2.0291093673115324,60.0,66.66666666666666,96.02655823412765,-2.7722185443948506,0.21130710135046693
7,AIFF,805.8539979757086,-1.2034647750562844,80.0,33.33333333333333,807.0574627507649,-21.203464775056283,-0.01491176069364887
8,NUKK,94.0884642026553,-4.395150087486998,80.0,33.33333333333333,98.4836142901423,-9.319330801994113,-0.44628237084582
9,IONQ,85.47232590163661,-10.032750200154227,60.0,33.33333333333333,95.50507610179083,-14.80800400524377,-1.0504939223817968
10,MSTU,111.77794782134556,-32.1649706250392,80.0,0.0,143.94291844638477,-39.36211654735844,-2.234564296194944
