year,month,buy_date,buy_price,buy_rsi,sell_date,sell_price,sell_rsi,return_pct,days_held,action
2022,January,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,February,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,March,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,April,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,May,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,June,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,July,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,August,2022-08-29,15.77,33.42467318049354,2022-08-29,15.77,33.42467318049354,0.0,0,buy
2022,September,2022-09-12,14.525,63.38949431508416,2022-09-19,13.396,66.14997190205514,-7.772805507745264,7,buy
2022,October,2022-10-10,11.67,43.59884510708972,2022-10-17,11.888,59.08660303463621,1.8680377035132818,7,buy
2022,November,2022-11-14,16.364,51.6666337996252,2022-11-21,15.33,50.63051308249792,-6.318748472256177,7,buy
2022,December,2022-12-12,17.52,71.22388318052674,2022-12-19,16.254,45.290432102581,-7.226027397260264,7,buy
2023,January,2023-01-09,15.629,46.8701423764853,2023-01-17,17.71,72.56457935340327,13.31499136221128,8,buy
2023,February,2023-02-13,21.797,53.90188311447668,2023-02-21,20.67,30.40875650001608,-5.170436298573193,8,buy
2023,March,2023-03-13,22.966,46.22801912210704,2023-03-20,25.867,53.31583389528687,12.631716450404944,7,buy
2023,April,2023-04-10,27.579,65.72207370994917,2023-04-17,27.002,72.7233539797574,-2.092171579825236,7,buy
2023,May,2023-05-08,29.11,64.66986810702952,2023-05-15,28.94,70.13182508160634,-0.5839917554105055,7,buy
2023,June,2023-06-12,39.542,70.95563394680475,2023-06-20,43.8,64.05216136642721,10.768297000657517,8,buy
2023,July,2023-07-10,42.199,51.15340260611261,2023-07-17,46.46,66.13150512323887,10.097395672883252,7,buy
2023,August,2023-08-14,43.935,76.41066469031452,2023-08-21,46.995,85.0214690387465,6.964834414475919,7,buy
2023,September,2023-09-11,45.115,51.88265310542368,2023-09-18,43.966,50.92969738505893,-2.5468247811149305,7,buy
2023,October,2023-10-09,45.2,50.92684209202685,2023-10-16,46.094,57.42402651705044,1.9778761061946866,7,buy
2023,November,2023-11-13,48.62,45.6186912805202,2023-11-20,50.396,68.69022237259303,3.652817770464836,7,buy
2023,December,2023-12-11,46.641,50.007622423932645,2023-12-18,49.975,53.77941745267632,7.148217233764292,7,buy
2024,January,2024-01-08,52.384,83.52657709581422,2024-01-16,56.48,65.73351784721714,7.819181429444098,8,buy
2024,February,2024-02-12,71.93,40.031223631072535,2024-02-20,69.224,46.41805007445274,-3.7619908244126274,8,buy
2024,March,2024-03-11,85.98,41.749601452965614,2024-03-18,89.03,53.47668268552012,3.547336589904625,7,buy
2024,April,2024-04-08,87.1561,44.43423961674777,2024-04-15,85.86,30.66240980591193,-1.4871018781244176,7,buy
2024,May,2024-05-13,90.33,54.248044841569126,2024-05-20,94.781,54.436912159310815,4.92748809919186,7,buy
2024,June,2024-06-10,121.3,47.58750652832731,2024-06-17,130.45,36.82723234717644,7.543281121187133,7,buy
2024,July,2024-07-08,128.22,50.001077514624384,2024-07-15,128.44,47.79393814868016,0.17158009670878088,7,buy
2024,August,2024-08-12,109.0,52.37312392604355,2024-08-19,129.57,74.59557488801681,18.871559633027516,7,buy
2024,September,2024-09-09,106.5695,64.6034611747645,2024-09-16,116.56,49.06072158523656,9.37463345516306,7,buy
2024,October,2024-10-14,138.17,52.02224490108993,2024-10-21,143.89,78.08555080097395,4.139827748425852,7,buy
2024,November,2024-11-11,145.1601,45.20432529926549,2024-11-18,140.2,48.68341318101167,-3.4169857970613213,7,buy
2024,December,2024-12-09,138.6001,40.61171331522213,2024-12-16,131.94,48.34371938354042,-4.805263488265882,7,buy
2025,January,2025-01-13,133.7201,56.21637936025955,2025-01-21,141.01,59.757003245091774,5.451611238699335,8,buy
2025,February,2025-02-10,133.14,46.8713479979843,2025-02-18,138.9998,43.78536979235011,4.401231786089836,8,buy
2025,March,2025-03-10,107.32,46.68884341243061,2025-03-17,119.34,44.61775080616193,11.200149086843096,7,buy
2025,April,2025-04-14,110.43,41.15651603854946,2025-04-21,96.66,49.822564704049306,-12.469437652811745,7,buy
2025,May,2025-05-12,122.6,63.26748881846183,2025-05-19,135.4895,55.46159404610578,10.513458401305057,7,buy
2025,June,2025-06-09,142.48,46.656794300179065,2025-06-16,144.5601,47.572209704891485,1.4599241998877148,7,buy
2025,July,2025-07-14,163.9001,36.80177794967625,2025-07-21,171.38,29.67535783753857,4.563694592010613,7,buy
