strategy,ticker,training_return,testing_return,current_price,training_rank_in_top10,run_date,train_period,test_period
1ST→2ND,CRWV,-12.129760225669962,54.64783922805259,147.355,2,2025-08-27,September 2024 - April 2025,May 2025 - August 2025
2ND→3RD,CRWV,-18.780096308186188,44.702129025567075,147.355,6,2025-08-27,September 2024 - April 2025,May 2025 - August 2025
3RD→4TH,SBET,-31.989487548178786,724.4803431522017,37.3898,6,2025-08-27,September 2024 - April 2025,May 2025 - August 2025
LAST→1ST,BMNR,-17.69575094621435,182.75104295963888,46.03,6,2025-08-27,September 2024 - April 2025,May 2025 - August 2025
