strategy,total_trades,skipped_trades,total_return,avg_return,win_rate,best_trade,worst_trade,buy_threshold,skip_threshold,early_sells,double_downs
Conservative,5,2,74.40216750375525,13.472301366544224,80.0,54.39093484419265,-3.840245775729646,50,60,0,0
Moderate,1,6,2.7210884353741527,2.721088435374161,100.0,2.721088435374161,2.721088435374161,40,70,0,0
