buy_date,buy_price,sell_date,sell_price,return_dollar,return_pct,days_held,capital,buy_month
2025-01-02,10.49,2025-01-06,10.26,-0.23000000000000043,-2.1925643469971443,4,9780.743565300287,2025-01
2025-01-16,8.99,2025-01-27,9.8,0.8100000000000005,9.010011123470528,11,10661.98964849197,2025-01
2025-01-23,9.39,2025-01-27,9.8,0.41000000000000014,4.366347177848776,4,11127.52913261143,2025-01
2025-01-30,10.125,2025-02-03,10.55,0.4250000000000007,4.197530864197538,4,11594.610602375367,2025-01
2025-02-06,10.64,2025-02-10,10.51,-0.13000000000000078,-1.2218045112782028,4,11452.947126970404,2025-02
2025-02-13,10.315,2025-02-24,10.27,-0.04499999999999993,-0.4362578768783319,11,11402.982742994285,2025-02
2025-02-20,9.74,2025-02-24,10.27,0.5299999999999994,5.441478439425045,4,12023.473590405678,2025-02
2025-02-27,11.27,2025-03-03,10.89,-0.379999999999999,-3.37178349600709,4,11618.068092237609,2025-02
2025-03-06,12.97,2025-03-10,12.45,-0.5200000000000014,-4.009252120277574,4,11152.27045091428,2025-03
2025-03-13,12.53,2025-03-17,11.61,-0.9199999999999999,-7.342378292098963,4,10333.428566250184,2025-03
2025-03-20,10.57,2025-03-24,10.73,0.16000000000000014,1.5137180700094621,4,10489.847541709032,2025-03
2025-03-27,10.56,2025-03-31,10.86,0.29999999999999893,2.8409090909090806,4,10787.854574143947,2025-03
2025-04-03,12.4799,2025-04-07,16.35,3.8701000000000008,31.010665149560495,4,14133.240032953272,2025-04
2025-04-10,14.81,2025-04-14,13.14,-1.67,-11.2761647535449,4,12539.552601823498,2025-04
2025-04-17,12.83,2025-04-21,13.29,0.4599999999999991,3.5853468433359246,4,12989.139055201425,2025-04
2025-04-24,12.58,2025-04-28,12.46,-0.11999999999999922,-0.9538950715421243,4,12865.236297918107,2025-04
2025-05-01,12.58,2025-05-05,12.46,-0.11999999999999922,-0.9538950715421243,4,12742.515442930018,2025-05
2025-05-08,11.65,2025-05-12,10.3,-1.3499999999999996,-11.587982832618023,4,11265.914940959587,2025-05
2025-05-15,10.03,2025-05-19,10.25,0.22000000000000064,2.1934197407776734,4,11513.023743253814,2025-05
2025-05-22,10.875,2025-06-02,10.57,-0.3049999999999997,-2.8045977011494228,11,11190.12974401773,2025-05
2025-05-29,10.79,2025-06-02,10.57,-0.21999999999999886,-2.038924930491185,4,10961.971398912643,2025-05
2025-06-05,10.93,2025-06-09,10.34,-0.5899999999999999,-5.397987191216833,4,10370.245586894485,2025-06
2025-06-12,9.46,2025-06-16,9.08,-0.3800000000000008,-4.016913319238909,4,9953.681810676735,2025-06
2025-06-26,9.47,2025-06-30,9.68,0.20999999999999908,2.21752903907074,4,10174.407595285193,2025-06
2025-07-03,9.26,2025-07-07,9.39,0.13000000000000078,1.4038876889848897,4,10317.244850942545,2025-07
2025-07-10,8.83,2025-07-14,8.79,-0.040000000000000924,-0.4530011325028417,4,10270.507614924683,2025-07
2025-07-17,9.2375,2025-07-21,9.18,-0.057500000000000995,-0.622462787550755,4,10206.57752692921,2025-07
2025-07-24,9.295,2025-07-28,9.21,-0.08499999999999908,-0.9144701452393661,4,10113.241422594732,2025-07
2025-07-31,9.37,2025-08-04,10.05,0.6800000000000015,7.257203842049109,4,10847.17996767098,2025-07
2025-08-07,10.24,2025-08-11,10.11,-0.13000000000000078,-1.2695312500000075,4,10709.471628237656,2025-08
2025-08-14,9.82,2025-08-18,10.02,0.1999999999999993,2.0366598778004,4,10927.58714001439,2025-08
2025-08-21,9.965,2025-08-25,9.34,-0.625,-6.271951831409934,4,10242.21413825734,2025-08
