period,month,target_buy_date,actual_buy_date,target_sell_date,actual_sell_date,thursday_date,buy_price,thursday_price,sell_price,buy_rsi,basic_return,thursday_return,doubled_down,double_down_return,stopped_out,stop_loss_return,rsi_qualified,days_held
Training,January,2025-01-27,2025-01-27,2025-02-03,2025-02-03,2025-01-30,4.488,5.4612,5.16,27.107346962337918,14.973262032085554,21.68449197860961,False,14.973262032085554,False,14.973262032085554,True,7
Training,February,2025-02-24,2025-02-24,2025-03-03,2025-03-03,2025-02-27,4.7904,4.374,5.16,37.40938558847136,7.71543086172345,-8.692384769539085,True,12.609663480424246,False,7.71543086172345,True,7
Training,March,2025-03-31,2025-03-31,2025-04-07,2025-04-07,2025-04-03,3.492,2.8944,3.336,36.13061801004984,-4.467353951890039,-17.113402061855666,True,4.47200300638857,True,-17.113402061855666,True,7
Training,April,2025-04-28,2025-04-28,2025-05-05,2025-05-05,2025-05-01,3.1548,3.48,4.92,47.61326648628536,55.95283377710156,10.308101939901109,False,55.95283377710156,False,55.95283377710156,True,7
Testing,May,2025-05-26,2025-05-27,2025-06-02,2025-06-02,2025-05-29,35.83,79.21,55.37,95.58804671539396,54.53530560982417,121.07172760256768,False,54.53530560982417,False,54.53530560982417,False,6
Testing,June,2025-06-30,2025-06-30,2025-07-07,2025-07-07,2025-07-03,9.93,12.66,12.67,42.5577254125788,27.59315206445116,27.49244712990937,False,27.59315206445116,False,27.59315206445116,True,7
Testing,July,2025-07-28,2025-07-28,2025-08-04,2025-08-04,2025-07-31,20.925,18.81,19.14,48.18576208719702,-8.530465949820789,-10.107526881720439,True,-3.661759154397882,True,-10.107526881720439,True,7
