month,buy_date,sell_date,buy_price,sell_price,buy_rsi,return_pct
January,2025-01-21,2025-01-27,1.05,1.54,,46.666666666666664
February,2025-02-18,2025-02-24,0.9998,0.8201,41.971134518726394,-17.973594718943787
March,2025-03-17,2025-03-24,0.928,1.0,45.97026975361855,7.758620689655167
April,2025-04-21,2025-04-28,1.03,1.07,59.430221619898006,3.883495145631071
May,2025-05-19,2025-05-27,1.07,0.95,54.51735885917888,-11.214953271028048
June,2025-06-16,2025-06-23,0.8341,0.9,41.05763089163264,7.900731327179004
July,2025-07-21,2025-07-28,0.9737,1.12,48.315188946083836,15.025161754133725
August,2025-08-18,2025-08-25,0.9101,0.9413,40.32855857321089,3.4281947038786953
