month,target_buy_date,actual_buy_date,buy_price,target_sell_date,actual_sell_date,sell_price,return_dollar,return_pct,days_held,note,capital
January,2025-01-27,2025-01-27,10.03,2025-02-03,2025-02-03,10.55,0.5200000000000014,5.184446660019955,7,,10518.444666001997
February,2025-02-24,2025-02-24,10.44,2025-03-03,2025-03-03,10.89,0.45000000000000107,4.310344827586218,7,,10971.82590160553
March,2025-03-31,2025-03-31,10.59,2025-04-07,2025-04-07,16.35,5.760000000000002,54.39093484419265,7,,16939.50457896605
April,2025-04-28,2025-04-28,12.18,2025-05-05,2025-05-05,12.46,0.28000000000000114,2.298850574712653,7,,17328.91847733309
May,2025-05-26,2025-05-19,10.29,2025-06-02,2025-06-02,10.57,0.28000000000000114,2.721088435374161,14,"Adjusted: 2025-05-26→2025-05-19, 2025-06-02→2025-06-02",17800.453673995213
June,2025-06-30,2025-06-30,9.765,2025-07-07,2025-07-07,9.39,-0.375,-3.840245775729646,7,,17116.8725037189
July,2025-07-28,2025-07-28,8.99,2025-08-04,2025-08-04,10.05,1.0600000000000005,11.790878754171306,7,,19135.10218713848
