ticker,current_price,1st_to_2nd_basic_training_return,1st_to_2nd_basic_training_win_rate,1st_to_2nd_basic_training_trades,1st_to_2nd_basic_testing_return,1st_to_2nd_basic_testing_win_rate,1st_to_2nd_basic_testing_trades,1st_to_2nd_rsi_filter_training_return,1st_to_2nd_rsi_filter_training_win_rate,1st_to_2nd_rsi_filter_training_trades,1st_to_2nd_rsi_filter_testing_return,1st_to_2nd_rsi_filter_testing_win_rate,1st_to_2nd_rsi_filter_testing_trades,1st_to_2nd_double_down_training_return,1st_to_2nd_double_down_training_win_rate,1st_to_2nd_double_down_training_trades,1st_to_2nd_double_down_testing_return,1st_to_2nd_double_down_testing_win_rate,1st_to_2nd_double_down_testing_trades,1st_to_2nd_double_down_double_down_triggers,1st_to_2nd_stop_loss_training_return,1st_to_2nd_stop_loss_training_win_rate,1st_to_2nd_stop_loss_training_trades,1st_to_2nd_stop_loss_testing_return,1st_to_2nd_stop_loss_testing_win_rate,1st_to_2nd_stop_loss_testing_trades,1st_to_2nd_stop_loss_stop_loss_triggers,2nd_to_3rd_basic_training_return,2nd_to_3rd_basic_training_win_rate,2nd_to_3rd_basic_training_trades,2nd_to_3rd_basic_testing_return,2nd_to_3rd_basic_testing_win_rate,2nd_to_3rd_basic_testing_trades,2nd_to_3rd_rsi_filter_training_return,2nd_to_3rd_rsi_filter_training_win_rate,2nd_to_3rd_rsi_filter_training_trades,2nd_to_3rd_rsi_filter_testing_return,2nd_to_3rd_rsi_filter_testing_win_rate,2nd_to_3rd_rsi_filter_testing_trades,2nd_to_3rd_double_down_training_return,2nd_to_3rd_double_down_training_win_rate,2nd_to_3rd_double_down_training_trades,2nd_to_3rd_double_down_testing_return,2nd_to_3rd_double_down_testing_win_rate,2nd_to_3rd_double_down_testing_trades,2nd_to_3rd_double_down_double_down_triggers,2nd_to_3rd_stop_loss_training_return,2nd_to_3rd_stop_loss_training_win_rate,2nd_to_3rd_stop_loss_training_trades,2nd_to_3rd_stop_loss_testing_return,2nd_to_3rd_stop_loss_testing_win_rate,2nd_to_3rd_stop_loss_testing_trades,2nd_to_3rd_stop_loss_stop_loss_triggers,3rd_to_4th_basic_training_return,3rd_to_4th_basic_training_win_rate,3rd_to_4th_basic_training_trades,3rd_to_4th_rsi_filter_training_return,3rd_to_4th_rsi_filter_training_win_rate,3rd_to_4th_rsi_filter_training_trades,3rd_to_4th_double_down_training_return,3rd_to_4th_double_down_training_win_rate,3rd_to_4th_double_down_training_trades,3rd_to_4th_stop_loss_training_return,3rd_to_4th_stop_loss_training_win_rate,3rd_to_4th_stop_loss_training_trades,last_to_1st_basic_training_return,last_to_1st_basic_training_win_rate,last_to_1st_basic_training_trades,last_to_1st_rsi_filter_training_return,last_to_1st_rsi_filter_training_win_rate,last_to_1st_rsi_filter_training_trades,last_to_1st_double_down_training_return,last_to_1st_double_down_training_win_rate,last_to_1st_double_down_training_trades,last_to_1st_stop_loss_training_return,last_to_1st_stop_loss_training_win_rate,last_to_1st_stop_loss_training_trades,3rd_to_4th_basic_testing_return,3rd_to_4th_basic_testing_win_rate,3rd_to_4th_basic_testing_trades,3rd_to_4th_rsi_filter_testing_return,3rd_to_4th_rsi_filter_testing_win_rate,3rd_to_4th_rsi_filter_testing_trades,3rd_to_4th_double_down_testing_return,3rd_to_4th_double_down_testing_win_rate,3rd_to_4th_double_down_testing_trades,3rd_to_4th_double_down_double_down_triggers,3rd_to_4th_stop_loss_testing_return,3rd_to_4th_stop_loss_testing_win_rate,3rd_to_4th_stop_loss_testing_trades,3rd_to_4th_stop_loss_stop_loss_triggers,last_to_1st_basic_testing_return,last_to_1st_basic_testing_win_rate,last_to_1st_basic_testing_trades,last_to_1st_rsi_filter_testing_return,last_to_1st_rsi_filter_testing_win_rate,last_to_1st_rsi_filter_testing_trades,last_to_1st_double_down_testing_return,last_to_1st_double_down_testing_win_rate,last_to_1st_double_down_testing_trades,last_to_1st_double_down_double_down_triggers,last_to_1st_stop_loss_testing_return,last_to_1st_stop_loss_testing_win_rate,last_to_1st_stop_loss_testing_trades,last_to_1st_stop_loss_stop_loss_triggers
MP,19.66,36.892408393800636,75.0,4,-16.06071882446386,0.0,1.0,43.34100110871595,100.0,3.0,-16.06071882446386,0.0,1.0,36.892408393800636,75.0,4,-13.801341761827079,0.0,1.0,1.0,36.892408393800636,75.0,4,-16.06071882446386,0.0,1.0,0.0,-9.820140495050833,50.0,4,0.5397874735562525,100.0,1.0,-1.817832143075837,66.66666666666666,3.0,0.5397874735562525,100.0,1.0,-9.820140495050833,50.0,4,0.5397874735562525,100.0,1.0,0.0,-9.820140495050833,50.0,4,0.5397874735562525,100.0,1.0,0.0,13.360304063239559,75.0,4,13.360304063239559,75.0,4,13.360304063239559,75.0,4,13.360304063239559,75.0,4,-4.588954554053948,50.0,4,-4.588954554053948,50.0,4,-4.588954554053948,50.0,4,-4.588954554053948,50.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLO,26.35,-28.06689412960772,33.33333333333333,3,,,,-19.420936170212755,0.0,1.0,,,,-17.074192407998158,33.33333333333333,3,,,,,-12.936925469401094,33.33333333333333,3,,,,,50.51159888462069,66.66666666666666,3,,,,61.35563336330338,100.0,2.0,,,,50.51159888462069,66.66666666666666,3,,,,,50.51159888462069,66.66666666666666,3,,,,,-25.18239950830572,33.33333333333333,3,-24.809392528654172,50.0,2,-19.16074068003748,33.33333333333333,3,-6.230949780001593,33.33333333333333,3,27.40357960244999,50.0,2,27.40357960244999,50.0,2,27.40357960244999,50.0,2,27.40357960244999,50.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOD,44.36,-23.67619353000273,33.33333333333333,3,,,,-17.621197261286426,50.0,2.0,,,,-21.22365275674599,33.33333333333333,3,,,,,-23.67619353000273,33.33333333333333,3,,,,,60.06085104040753,100.0,3,,,,60.06085104040753,100.0,3.0,,,,60.06085104040753,100.0,3,,,,,60.06085104040753,100.0,3,,,,,-21.21417025165494,0.0,2,-21.21417025165494,0.0,2,-18.24456612531138,0.0,2,-21.21417025165494,0.0,2,2.1954469710586455,50.0,2,2.1954469710586455,50.0,2,2.1954469710586455,50.0,2,2.1954469710586455,50.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATS,30.52,-9.538412373903615,50.0,4,-25.860251679178916,0.0,2.0,-8.379403976522571,66.66666666666666,3.0,-25.860251679178916,0.0,2.0,-5.4030255109963505,50.0,4,-25.860251679178916,0.0,2.0,0.0,-9.538412373903615,50.0,4,-25.860251679178916,0.0,2.0,0.0,20.421837514068343,75.0,4,71.32500489030069,100.0,2.0,20.421837514068343,75.0,4.0,71.32500489030069,100.0,2.0,20.421837514068343,75.0,4,71.32500489030069,100.0,2.0,0.0,20.421837514068343,75.0,4,71.32500489030069,100.0,2.0,0.0,3.634005521299377,50.0,4,10.373205914825068,100.0,2,3.634005521299377,50.0,4,3.634005521299377,50.0,4,-4.632390747880299,75.0,4,-4.632390747880299,75.0,4,-0.25629912251474707,75.0,4,-4.632390747880299,75.0,4,-8.00259275408558,50.0,2.0,-8.00259275408558,50.0,2.0,-8.00259275408558,50.0,2.0,0.0,-8.00259275408558,50.0,2.0,0.0,-0.8336703824098013,50.0,2.0,-0.8336703824098013,50.0,2.0,-0.8336703824098013,50.0,2.0,0.0,-0.8336703824098013,50.0,2.0,0.0
BMNR,46.03,-26.50211714481837,25.0,4,-62.774379718516535,33.33333333333333,3.0,-14.6620919608759,33.33333333333333,3.0,-2.423288749016528,50.0,2.0,-13.237582417013382,25.0,4,-43.818341029211936,33.33333333333333,3.0,2.0,-30.768234069400545,25.0,4,-67.38060323118167,0.0,3.0,2.0,94.66168522191913,50.0,4,-43.93813848848297,0.0,3.0,94.66168522191913,50.0,4.0,-43.93813848848297,0.0,3.0,94.66168522191913,50.0,4,-34.6664906534642,0.0,3.0,2.0,94.66168522191913,50.0,4,-29.55462967801288,0.0,3.0,2.0,9.486707684051176,50.0,4,9.486707684051176,50.0,4,16.154856875024805,50.0,4,11.468895150109581,50.0,4,-20.158468974432864,50.0,4,-20.158468974432864,50.0,4,-2.524561223831534,50.0,4,-30.986953944878394,25.0,4,-15.627627627627627,0.0,3.0,-15.627627627627627,0.0,3.0,-15.627627627627627,0.0,3.0,0.0,-15.627627627627627,0.0,3.0,0.0,182.75104295963888,33.33333333333333,3.0,-11.75968109339407,0.0,2.0,182.75104295963888,33.33333333333333,3.0,0.0,182.75104295963888,33.33333333333333,3.0,0.0
THAR,5.1,-9.43576923076922,50.0,4,6.913780660896229,66.66666666666666,3.0,0.6269230769230916,66.66666666666666,3.0,6.913780660896229,66.66666666666666,3.0,-4.968475336322875,50.0,4,6.913780660896229,66.66666666666666,3.0,0.0,-9.43576923076922,50.0,4,6.913780660896229,66.66666666666666,3.0,0.0,-0.25419038878428113,25.0,4,-23.541333333333338,33.33333333333333,3.0,-0.25419038878428113,25.0,4.0,-23.541333333333338,33.33333333333333,3.0,2.4235494665503676,25.0,4,-10.909986286901363,33.33333333333333,3.0,2.0,-0.25419038878428113,25.0,4,-26.656565656565668,33.33333333333333,3.0,2.0,9.814220824176466,50.0,4,9.814220824176466,50.0,4,9.814220824176466,50.0,4,9.814220824176466,50.0,4,-17.441395591649055,25.0,4,-17.441395591649055,25.0,4,-7.060856329724818,25.0,4,-17.441395591649055,25.0,4,-11.16051446823847,33.33333333333333,3.0,-11.16051446823847,33.33333333333333,3.0,-7.433372620631696,33.33333333333333,3.0,1.0,-11.16051446823847,33.33333333333333,3.0,0.0,-17.872166849041136,33.33333333333333,3.0,-5.718938595650913,50.0,2.0,-11.344446284362341,33.33333333333333,3.0,1.0,-23.120938140643776,33.33333333333333,3.0,1.0
CRWV,147.355,-12.129760225669962,0.0,4,54.64783922805259,100.0,2.0,,,,14.689154736222786,100.0,1.0,-5.051164816024389,0.0,4,54.64783922805259,100.0,2.0,0.0,-14.9103364900262,0.0,4,54.64783922805259,100.0,2.0,0.0,-18.780096308186188,0.0,4,44.702129025567075,50.0,2.0,,,,48.05061559507524,100.0,1.0,-14.40619600546138,0.0,4,50.77567796516802,100.0,2.0,1.0,-10.220132997019038,0.0,4,44.702129025567075,50.0,2.0,0.0,18.944099378881994,25.0,4,18.944099378881994,100.0,1,18.944099378881994,25.0,4,18.944099378881994,25.0,4,62.56362884775426,50.0,4,21.030144789935925,100.0,1,62.56362884775426,50.0,4,62.56362884775426,50.0,4,56.90916906979542,100.0,2.0,9.584543502967557,100.0,1.0,56.90916906979542,100.0,2.0,0.0,56.90916906979542,100.0,2.0,0.0,-5.114660043030328,0.0,2.0,-2.118280886494439,0.0,1.0,2.4601332212493388,50.0,2.0,1.0,-16.59091064652153,0.0,2.0,1.0
TME,18.73,3.4076786977665474,50.0,4,8.727191697607605,100.0,2.0,9.582020678264257,66.66666666666666,3.0,8.727191697607605,100.0,2.0,3.4076786977665474,50.0,4,8.727191697607605,100.0,2.0,0.0,3.4076786977665474,50.0,4,8.727191697607605,100.0,2.0,0.0,13.088141520437135,75.0,4,17.04505763185469,100.0,1.0,13.088141520437135,75.0,4.0,17.04505763185469,100.0,1.0,13.088141520437135,75.0,4,17.04505763185469,100.0,1.0,0.0,13.088141520437135,75.0,4,17.04505763185469,100.0,1.0,0.0,23.528524652128425,75.0,4,29.524131010436648,100.0,3,27.17270957000515,75.0,4,23.528524652128425,75.0,4,-11.223035629347166,25.0,4,-11.223035629347166,25.0,4,-11.223035629347166,25.0,4,-11.223035629347166,25.0,4,6.863622799164437,100.0,1.0,,,,6.863622799164437,100.0,1.0,0.0,6.863622799164437,100.0,1.0,0.0,-3.043842502094396,0.0,1.0,,,,-3.043842502094396,0.0,1.0,0.0,-3.043842502094396,0.0,1.0,0.0
APLD,6.415,-20.52809988661365,33.33333333333333,3,,,,0.09467908678923997,50.0,2.0,,,,-13.951266746867585,33.33333333333333,3,,,,,-15.206092409606454,33.33333333333333,3,,,,,68.99346005951233,100.0,3,,,,68.99346005951233,100.0,3.0,,,,68.99346005951233,100.0,3,,,,,68.99346005951233,100.0,3,,,,,-29.906210995238503,33.33333333333333,3,-29.906210995238503,33.33333333333333,3,-29.906210995238503,33.33333333333333,3,-29.906210995238503,33.33333333333333,3,-13.377880658436236,50.0,2,-13.377880658436236,50.0,2,-7.416534163758226,50.0,2,-1.1808127572016658,50.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,19.61,-2.472216974046415,50.0,4,16.125076640098122,100.0,1.0,7.860730945333816,66.66666666666666,3.0,16.125076640098122,100.0,1.0,1.2857342985132636,50.0,4,16.125076640098122,100.0,1.0,0.0,-2.472216974046415,50.0,4,16.125076640098122,100.0,1.0,0.0,12.324537709986739,75.0,4,1.5839493136219573,100.0,1.0,12.324537709986739,75.0,4.0,1.5839493136219573,100.0,1.0,15.22115902629011,75.0,4,1.5839493136219573,100.0,1.0,0.0,12.324537709986739,75.0,4,1.5839493136219573,100.0,1.0,0.0,-15.353414840488878,25.0,4,-15.353414840488878,25.0,4,-15.353414840488878,25.0,4,-15.353414840488878,25.0,4,-19.175004896176485,50.0,4,-19.175004896176485,50.0,4,-13.699908059604304,50.0,4,-16.796341643580824,50.0,4,2.75467775467777,100.0,1.0,2.75467775467777,100.0,1.0,2.75467775467777,100.0,1.0,0.0,2.75467775467777,100.0,1.0,0.0,,,,,,,,,,,,,,
