,buy_day,sell_day,avg_return,win_rate,volatility,total_trades,risk_adjusted_return,best_return,worst_return
Monday -> Monday,Monday,Monday,1.4629008815394409,61.44578313253012,7.066589619408328,83,0.20701653277297952,24.669112502812943,-21.35879517297673
Monday -> Tuesday,Monday,Tuesday,-0.021564270374292798,51.19047619047619,2.137278019916008,84,-0.01008959535135267,5.838215982843806,-5.030900410214857
Monday -> Wednesday,Monday,Wednesday,0.378482960873464,54.761904761904766,3.5211553750219085,84,0.10748828738382755,13.46175284125799,-9.476002745279557
Monday -> Thursday,Monday,Thursday,0.6897625845802328,52.38095238095239,4.346367699105345,84,0.15869862660773346,16.942003382112592,-9.621720694406765
Monday -> Friday,Monday,Friday,0.7510841393070741,54.761904761904766,5.318752406695284,84,0.1412143453719718,16.925848598501663,-13.01410946004182
Monday -> Saturday,Monday,Saturday,1.0054683301742167,59.036144578313255,5.57085822235784,83,0.18048715117877417,17.22515611567203,-10.605350638878267
Monday -> Sunday,Monday,Sunday,1.093899290290952,54.21686746987952,5.850008195581894,83,0.18699106970774815,17.722081038440827,-13.346325233496495
Tuesday -> Monday,Tuesday,Monday,1.44545974828923,59.036144578313255,6.308846377261317,83,0.2291163331380256,23.099522968519167,-18.92508138896177
Tuesday -> Tuesday,Tuesday,Tuesday,1.409355737742913,56.62650602409639,6.642502454407333,83,0.21217240752508845,26.83141422159928,-16.07253454331438
Tuesday -> Wednesday,Tuesday,Wednesday,0.3828578008261925,55.952380952380956,2.0669912632936067,84,0.18522468267047013,7.203009600662528,-5.2255202870148105
Tuesday -> Thursday,Tuesday,Thursday,0.6951645591086754,58.333333333333336,3.2847588946753064,84,0.21163335922023324,10.49128360314453,-7.100369800534795
Tuesday -> Friday,Tuesday,Friday,0.7470654142997656,51.19047619047619,4.271203777578101,84,0.17490746243986835,10.790425579778029,-10.855699704820196
Tuesday -> Saturday,Tuesday,Saturday,0.9879217010671723,51.80722891566265,4.577070401553781,83,0.21584149125864477,10.758817150389257,-8.216675422372244
Tuesday -> Sunday,Tuesday,Sunday,1.080944372419014,59.036144578313255,5.0066095349149435,83,0.21590347017892178,14.518042292304239,-10.664649092106542
Wednesday -> Monday,Wednesday,Monday,1.018419325438124,60.24096385542169,5.4770148377106675,83,0.1859442334218346,16.54004399865071,-18.29862225840072
Wednesday -> Tuesday,Wednesday,Tuesday,0.9859772479651396,56.62650602409639,5.894283080916161,83,0.1672768739522241,20.073077761448953,-15.42403402131657
Wednesday -> Wednesday,Wednesday,Wednesday,1.3939580106192415,59.036144578313255,6.513631842115518,83,0.21400626323493707,23.20829370587737,-14.498238833902638
Wednesday -> Thursday,Wednesday,Thursday,0.29644494567649415,51.19047619047619,1.8594962600251512,84,0.15942217903276906,4.553646025651869,-3.936824093037213
Wednesday -> Friday,Wednesday,Friday,0.34083986514190534,55.952380952380956,3.0739394220016236,84,0.1108804756210727,7.9829165535926325,-8.942549201125619
Wednesday -> Saturday,Wednesday,Saturday,0.5697816138241755,54.21686746987952,3.6413168854640414,83,0.15647679994529334,9.048113531712875,-7.126727882720789
Wednesday -> Sunday,Wednesday,Sunday,0.6638457751819105,57.831325301204814,4.188128557542642,83,0.1585065420177593,10.327347814737479,-9.974362290504917
Thursday -> Monday,Thursday,Monday,0.5597277066855347,57.14285714285714,4.713887805032814,84,0.11874014186080917,12.22885677296626,-16.054364787266056
Thursday -> Tuesday,Thursday,Tuesday,0.5355617639055626,53.57142857142857,5.162245496712772,84,0.10374589202442988,15.631192369679518,-13.100814404061001
Thursday -> Wednesday,Thursday,Wednesday,0.9370078897650971,54.761904761904766,5.892623147293992,84,0.15901371364557557,18.65042669555338,-12.864237147259894
Thursday -> Thursday,Thursday,Thursday,1.2324393938187133,54.761904761904766,6.1537079951938605,84,0.20027589784586255,20.190348207887745,-13.004501000421484
Thursday -> Friday,Thursday,Friday,-0.04904184507567825,51.76470588235295,2.137235507565544,85,-0.022946392618911817,4.794910534161974,-7.068268196274073
Thursday -> Saturday,Thursday,Saturday,0.14504410870136675,53.57142857142857,3.0620037666414923,84,0.04736901707356681,9.019918353171335,-9.487687443533463
Thursday -> Sunday,Thursday,Sunday,0.22094004359890115,55.952380952380956,3.58006450735438,84,0.06171398396454395,9.461279897050485,-10.460950725264793
Friday -> Monday,Friday,Monday,0.6092787687570388,54.761904761904766,3.9110706926495356,84,0.15578311327947025,11.110253728448402,-15.316429844343856
Friday -> Tuesday,Friday,Tuesday,0.5886339127527913,52.38095238095239,4.520371780402911,84,0.1302180310267146,14.478677699699286,-12.336915895219915
Friday -> Wednesday,Friday,Wednesday,0.9924943490443244,57.14285714285714,5.381689794060983,84,0.18442057922766217,18.01855272984552,-12.428423612806684
Friday -> Thursday,Friday,Thursday,1.2877823187482198,57.14285714285714,5.661825510417817,84,0.22745001879317672,21.63857552769152,-12.56938900209536
Friday -> Friday,Friday,Friday,1.3308415758745742,58.333333333333336,6.147336444252596,84,0.21649076603230885,21.621771942926767,-15.851135731517157
Friday -> Saturday,Friday,Saturday,0.19554119502215764,57.14285714285714,1.6029154373033512,84,0.12199096126438487,4.338730897985717,-4.984823379327536
Friday -> Sunday,Friday,Sunday,0.2709059514858123,58.333333333333336,2.4502897962211128,84,0.11056078015898733,9.983797336490323,-6.688325001182798
Saturday -> Monday,Saturday,Monday,0.3979033892524508,58.333333333333336,3.131554840371816,84,0.12706256461573154,11.271434125785127,-12.029181400621052
Saturday -> Tuesday,Saturday,Tuesday,0.37783478134506204,54.761904761904766,3.8756585526624647,84,0.09748918182833742,14.644744449968044,-8.934008622112557
Saturday -> Wednesday,Saturday,Wednesday,0.7801032907467735,54.761904761904766,4.828272411846689,84,0.16156985857564823,17.6382217343478,-11.799718989513043
Saturday -> Thursday,Saturday,Thursday,1.0780663074029344,54.761904761904766,5.194085904128505,84,0.20755650316565546,20.986408803221103,-11.941696414848419
Saturday -> Friday,Saturday,Friday,1.1251299142475164,50.0,5.788225343167993,84,0.194382534808452,20.969695311083527,-15.247003863699812
Saturday -> Saturday,Saturday,Saturday,1.3955914384266097,55.42168674698795,5.9616069221399615,83,0.23409652072895343,21.27935429231311,-11.569799433365514
