,week_number,avg_return,win_rate,volatility,total_trades,best_return,worst_return,risk_adjusted_return
Week 1,1,3.3867160010943813,73.68421052631578,8.525456962506247,19,24.669112502812943,-10.866246183704806,0.3972474456194757
Week 2,2,2.5410091130153627,57.89473684210527,5.8446444563296005,19,12.930701532569552,-8.8631507689704,0.43475854382613727
Week 3,3,1.2031732327183395,68.42105263157895,5.445369355054535,19,9.059368438352507,-10.502706135022532,0.2209534660126448
Week 4,4,-0.5410113623830773,50.0,7.2144102980960865,26,23.58785462584198,-21.35879517297673,-0.07499037898161302
